Naam,CPU Percentage,timediff,virtual mem
compair,0.0,0.004526376724243164,"svmem(total=1033879552, available=745164800, percent=27.9, used=195055616, free=651223040, active=164536320, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004374980926513672,"svmem(total=1033879552, available=744529920, percent=28.0, used=195690496, free=650588160, active=165150720, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.00435948371887207,"svmem(total=1033879552, available=744275968, percent=28.0, used=195944448, free=650334208, active=165150720, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.004399538040161133,"svmem(total=1033879552, available=744275968, percent=28.0, used=195944448, free=650334208, active=165150720, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.0043849945068359375,"svmem(total=1033879552, available=744275968, percent=28.0, used=195944448, free=650334208, active=165150720, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004494905471801758,"svmem(total=1033879552, available=744275968, percent=28.0, used=195944448, free=650334208, active=165253120, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004369974136352539,"svmem(total=1033879552, available=744275968, percent=28.0, used=195944448, free=650334208, active=165253120, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004473209381103516,"svmem(total=1033879552, available=744275968, percent=28.0, used=195944448, free=650334208, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.0043828487396240234,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.004457950592041016,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.004365205764770508,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.00440216064453125,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004463911056518555,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004469871520996094,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.004451274871826172,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004377841949462891,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,25.0,0.004463911056518555,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165355520, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.0043773651123046875,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.004488229751586914,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
compair,0.0,0.004415273666381836,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
friction,0.0,0.0020792484283447266,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
friction,0.0,0.002015352249145508,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
friction,25.0,0.002065420150756836,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
friction,25.0,0.0020265579223632812,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15540224, cached=172060672, shared=18714624, slab=64872448)"
friction,0.0,0.002157449722290039,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.002026796340942383,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.0020749568939208984,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.0020296573638916016,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,25.0,0.0020706653594970703,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.002032756805419922,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,25.0,0.0021696090698242188,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.0020296573638916016,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,25.0,0.0020759105682373047,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.0020194053649902344,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.0020711421966552734,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,25.0,0.002035856246948242,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.002166271209716797,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.0020194053649902344,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.002058744430541992,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
friction,0.0,0.002021312713623047,"svmem(total=1033879552, available=744148992, percent=28.0, used=196071424, free=650207232, active=165359616, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.002736330032348633,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.002747774124145508,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.0027785301208496094,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.0027840137481689453,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.0028777122497558594,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.002789020538330078,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.0027840137481689453,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.0028641223907470703,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.002774477005004883,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.002785921096801758,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.0028769969940185547,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.002786874771118164,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.002776622772216797,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.0028748512268066406,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,25.0,0.002779245376586914,"svmem(total=1033879552, available=744022016, percent=28.0, used=196198400, free=650080256, active=165462016, inactive=82755584, buffers=15548416, cached=172052480, shared=18714624, slab=64872448)"
narendra4,0.0,0.002785921096801758,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
narendra4,0.0,0.0028705596923828125,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
narendra4,0.0,0.00278472900390625,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
narendra4,0.0,0.002780437469482422,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
narendra4,25.0,0.0028638839721679688,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,0.0,0.003751039505004883,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,25.0,0.0037572383880615234,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,0.0,0.0037870407104492188,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,25.0,0.0036454200744628906,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,25.0,0.0036602020263671875,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,0.0,0.003656625747680664,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
pt2,0.0,0.003679990768432617,"svmem(total=1033879552, available=744022016, percent=28.0, used=196190208, free=650080256, active=165531648, inactive=82755584, buffers=15548416, cached=172060672, shared=18714624, slab=64872448)"
