Naam,CPU Percentage,timediff,virtual mem
compair,37.5,0.4299581050872803,"svmem(total=8476856320, available=1602420736, percent=81.1, used=6874435584, free=1602420736)"
compair,50.0,0.009555339813232422,"svmem(total=8476856320, available=1602400256, percent=81.1, used=6874456064, free=1602400256)"
friction,0.0,0.005006074905395508,"svmem(total=8476856320, available=1602387968, percent=81.1, used=6874468352, free=1602387968)"
friction,0.0,0.005051851272583008,"svmem(total=8476856320, available=1602387968, percent=81.1, used=6874468352, free=1602387968)"
narendra4,50.0,0.015070676803588867,"svmem(total=8476856320, available=1602355200, percent=81.1, used=6874501120, free=1602355200)"
narendra4,100.0,0.005086421966552734,"svmem(total=8476856320, available=1602535424, percent=81.1, used=6874320896, free=1602535424)"
pt2,0.0,0.004038572311401367,"svmem(total=8476856320, available=1602322432, percent=81.1, used=6874533888, free=1602322432)"
pt2,0.0,0.0060384273529052734,"svmem(total=8476856320, available=1602322432, percent=81.1, used=6874533888, free=1602322432)"
P0Y0_narendra4,0.0,0.005005359649658203,"svmem(total=8476856320, available=1602318336, percent=81.1, used=6874537984, free=1602318336)"
P0Y0_narendra4,75.0,0.010051727294921875,"svmem(total=8476856320, available=1602318336, percent=81.1, used=6874537984, free=1602318336)"
P0Y0_compair,0.0,0.005050182342529297,"svmem(total=8476856320, available=1602310144, percent=81.1, used=6874546176, free=1602310144)"
P0Y0_compair,75.0,0.004517078399658203,"svmem(total=8476856320, available=1602310144, percent=81.1, used=6874546176, free=1602310144)"
gradient,75.0,0.010022401809692383,"svmem(total=8476856320, available=1602232320, percent=81.1, used=6874624000, free=1602232320)"
gradient,50.0,0.02011275291442871,"svmem(total=8476856320, available=1602256896, percent=81.1, used=6874599424, free=1602256896)"
Totaal,0.0,0.5395705699920654,"svmem(total=8476856320, available=1602256896, percent=81.1, used=6874599424, free=1602256896)"
