Naam,CPU Percentage,timediff,virtual mem
compair,0.0,0.0,"svmem(total=8476856320, available=1895616512, percent=77.6, used=6581239808, free=1895616512)"
compair,0.0,0.0009975433349609375,"svmem(total=8476856320, available=1895288832, percent=77.6, used=6581567488, free=1895288832)"
compair,0.0,0.0009992122650146484,"svmem(total=8476856320, available=1895288832, percent=77.6, used=6581567488, free=1895288832)"
compair,0.0,0.0009975433349609375,"svmem(total=8476856320, available=1895288832, percent=77.6, used=6581567488, free=1895288832)"
compair,0.0,0.0010030269622802734,"svmem(total=8476856320, available=1895288832, percent=77.6, used=6581567488, free=1895288832)"
compair,75.0,0.001956939697265625,"svmem(total=8476856320, available=1895219200, percent=77.6, used=6581637120, free=1895219200)"
friction,0.0,0.0,"svmem(total=8476856320, available=1895206912, percent=77.6, used=6581649408, free=1895206912)"
friction,0.0,0.0009970664978027344,"svmem(total=8476856320, available=1895206912, percent=77.6, used=6581649408, free=1895206912)"
friction,0.0,0.0,"svmem(total=8476856320, available=1895206912, percent=77.6, used=6581649408, free=1895206912)"
friction,0.0,0.0,"svmem(total=8476856320, available=1895337984, percent=77.6, used=6581518336, free=1895337984)"
friction,0.0,0.0,"svmem(total=8476856320, available=1895337984, percent=77.6, used=6581518336, free=1895337984)"
friction,0.0,0.0,"svmem(total=8476856320, available=1895337984, percent=77.6, used=6581518336, free=1895337984)"
narendra4,0.0,0.0009970664978027344,"svmem(total=8476856320, available=1895305216, percent=77.6, used=6581551104, free=1895305216)"
narendra4,0.0,0.0,"svmem(total=8476856320, available=1895305216, percent=77.6, used=6581551104, free=1895305216)"
narendra4,0.0,0.0,"svmem(total=8476856320, available=1895305216, percent=77.6, used=6581551104, free=1895305216)"
narendra4,0.0,0.0009982585906982422,"svmem(total=8476856320, available=1895305216, percent=77.6, used=6581551104, free=1895305216)"
narendra4,0.0,0.0009434223175048828,"svmem(total=8476856320, available=1895305216, percent=77.6, used=6581551104, free=1895305216)"
narendra4,0.0,0.0,"svmem(total=8476856320, available=1895305216, percent=77.6, used=6581551104, free=1895305216)"
pt2,0.0,0.000997304916381836,"svmem(total=8476856320, available=1895301120, percent=77.6, used=6581555200, free=1895301120)"
pt2,0.0,0.0,"svmem(total=8476856320, available=1895301120, percent=77.6, used=6581555200, free=1895301120)"
pt2,0.0,0.0009975433349609375,"svmem(total=8476856320, available=1895301120, percent=77.6, used=6581555200, free=1895301120)"
pt2,0.0,0.0009965896606445312,"svmem(total=8476856320, available=1895301120, percent=77.6, used=6581555200, free=1895301120)"
pt2,0.0,0.0009961128234863281,"svmem(total=8476856320, available=1895301120, percent=77.6, used=6581555200, free=1895301120)"
pt2,0.0,0.0009970664978027344,"svmem(total=8476856320, available=1895301120, percent=77.6, used=6581555200, free=1895301120)"
P0Y0_narendra4,0.0,0.0,"svmem(total=8476856320, available=1895297024, percent=77.6, used=6581559296, free=1895297024)"
P0Y0_narendra4,0.0,0.0009868144989013672,"svmem(total=8476856320, available=1895297024, percent=77.6, used=6581559296, free=1895297024)"
P0Y0_narendra4,0.0,0.0009849071502685547,"svmem(total=8476856320, available=1895297024, percent=77.6, used=6581559296, free=1895297024)"
P0Y0_narendra4,0.0,0.000997781753540039,"svmem(total=8476856320, available=1895297024, percent=77.6, used=6581559296, free=1895297024)"
P0Y0_narendra4,0.0,0.0,"svmem(total=8476856320, available=1895297024, percent=77.6, used=6581559296, free=1895297024)"
P0Y0_narendra4,0.0,0.0009987354278564453,"svmem(total=8476856320, available=1895297024, percent=77.6, used=6581559296, free=1895297024)"
P0Y0_compair,0.0,0.0009667873382568359,"svmem(total=8476856320, available=1895260160, percent=77.6, used=6581596160, free=1895260160)"
P0Y0_compair,0.0,0.00095367431640625,"svmem(total=8476856320, available=1895133184, percent=77.6, used=6581723136, free=1895133184)"
P0Y0_compair,0.0,0.0009672641754150391,"svmem(total=8476856320, available=1895141376, percent=77.6, used=6581714944, free=1895141376)"
P0Y0_compair,0.0,0.0,"svmem(total=8476856320, available=1895038976, percent=77.6, used=6581817344, free=1895038976)"
P0Y0_compair,0.0,0.0009968280792236328,"svmem(total=8476856320, available=1894969344, percent=77.6, used=6581886976, free=1894969344)"
P0Y0_compair,25.0,0.0009965896606445312,"svmem(total=8476856320, available=1894916096, percent=77.6, used=6581940224, free=1894916096)"
gradient,0.0,0.013962268829345703,"svmem(total=8476856320, available=1894805504, percent=77.6, used=6582050816, free=1894805504)"
gradient,0.0,0.020943641662597656,"svmem(total=8476856320, available=1894805504, percent=77.6, used=6582050816, free=1894805504)"
gradient,0.0,0.026928186416625977,"svmem(total=8476856320, available=1894805504, percent=77.6, used=6582050816, free=1894805504)"
gradient,0.0,0.0359034538269043,"svmem(total=8476856320, available=1894608896, percent=77.6, used=6582247424, free=1894608896)"
gradient,25.0,0.04089093208312988,"svmem(total=8476856320, available=1894608896, percent=77.6, used=6582247424, free=1894608896)"
gradient,25.0,0.04834794998168945,"svmem(total=8476856320, available=1894608896, percent=77.6, used=6582247424, free=1894608896)"
Totaal,0.0,0.7819812297821045,"svmem(total=8476856320, available=1894608896, percent=77.6, used=6582247424, free=1894608896)"
