Naam,CPU Percentage,timediff,virtual mem
compair,32.5,2.4765312671661377,"svmem(total=8476856320, available=1194483712, percent=85.9, used=7282372608, free=1194483712)"
compair,36.5,2.169942855834961,"svmem(total=8476856320, available=1194496000, percent=85.9, used=7282360320, free=1194496000)"
friction,13.7,0.02985858917236328,"svmem(total=8476856320, available=1182216192, percent=86.1, used=7294640128, free=1182216192)"
friction,16.7,0.019956588745117188,"svmem(total=8476856320, available=1182216192, percent=86.1, used=7294640128, free=1182216192)"
narendra4,14.6,0.37093424797058105,"svmem(total=8476856320, available=1178984448, percent=86.1, used=7297871872, free=1178984448)"
narendra4,25.0,0.019975662231445312,"svmem(total=8476856320, available=1178996736, percent=86.1, used=7297859584, free=1178996736)"
pt2,33.3,0.04086041450500488,"svmem(total=8476856320, available=1178931200, percent=86.1, used=7297925120, free=1178931200)"
pt2,50.0,0.04420828819274902,"svmem(total=8476856320, available=1178910720, percent=86.1, used=7297945600, free=1178910720)"
P0Y0_narendra4,37.5,0.01929497718811035,"svmem(total=8476856320, available=1178906624, percent=86.1, used=7297949696, free=1178906624)"
P0Y0_narendra4,50.0,0.021941661834716797,"svmem(total=8476856320, available=1178906624, percent=86.1, used=7297949696, free=1178906624)"
P0Y0_compair,37.7,2.1910884380340576,"svmem(total=8476856320, available=1181757440, percent=86.1, used=7295098880, free=1181757440)"
P0Y0_compair,44.0,2.2136735916137695,"svmem(total=8476856320, available=1177919488, percent=86.1, used=7298936832, free=1177919488)"
gradient,15.6,0.12304830551147461,"svmem(total=8476856320, available=1178378240, percent=86.1, used=7298478080, free=1178378240)"
gradient,25.0,0.012084007263183594,"svmem(total=8476856320, available=1178378240, percent=86.1, used=7298478080, free=1178378240)"
