Naam,CPU Percentage,timediff,virtual mem
compair,40.4,2.1401305198669434,"svmem(total=8476856320, available=3091431424, percent=63.5, used=5385424896, free=3091431424)"
compair,39.25,2.1404519081115723,"svmem(total=8476856320, available=3058356224, percent=63.9, used=5418500096, free=3058356224)"
compair,30.45,1.9266269207000732,"svmem(total=8476856320, available=3060236288, percent=63.9, used=5416620032, free=3060236288)"
friction,25.0,0.015248775482177734,"svmem(total=8476856320, available=3038208000, percent=64.2, used=5438648320, free=3038208000)"
friction,25.0,0.015619516372680664,"svmem(total=8476856320, available=3038208000, percent=64.2, used=5438648320, free=3038208000)"
friction,25.0,0.01562190055847168,"svmem(total=8476856320, available=3038208000, percent=64.2, used=5438648320, free=3038208000)"
narendra4,25.0,0.01562047004699707,"svmem(total=8476856320, available=3037773824, percent=64.2, used=5439082496, free=3037773824)"
narendra4,50.0,0.015598058700561523,"svmem(total=8476856320, available=3037773824, percent=64.2, used=5439082496, free=3037773824)"
narendra4,25.0,0.015618324279785156,"svmem(total=8476856320, available=3037773824, percent=64.2, used=5439082496, free=3037773824)"
pt2,25.0,0.03124260902404785,"svmem(total=8476856320, available=3037704192, percent=64.2, used=5439152128, free=3037704192)"
pt2,25.0,0.015648365020751953,"svmem(total=8476856320, available=3037704192, percent=64.2, used=5439152128, free=3037704192)"
pt2,25.0,0.04686403274536133,"svmem(total=8476856320, available=3047968768, percent=64.0, used=5428887552, free=3047968768)"
P0Y0_narendra4,25.0,0.03121638298034668,"svmem(total=8476856320, available=3047866368, percent=64.0, used=5428989952, free=3047866368)"
P0Y0_narendra4,25.0,0.01564764976501465,"svmem(total=8476856320, available=3047866368, percent=64.0, used=5428989952, free=3047866368)"
P0Y0_narendra4,25.0,0.015620708465576172,"svmem(total=8476856320, available=3047866368, percent=64.0, used=5428989952, free=3047866368)"
P0Y0_compair,30.9,1.9959218502044678,"svmem(total=8476856320, available=3049328640, percent=64.0, used=5427527680, free=3049328640)"
P0Y0_compair,28.225,1.921422004699707,"svmem(total=8476856320, available=3040739328, percent=64.1, used=5436116992, free=3040739328)"
P0Y0_compair,30.175,1.9616422653198242,"svmem(total=8476856320, available=3051360256, percent=64.0, used=5425496064, free=3051360256)"
gradient,25.0,0.010942697525024414,"svmem(total=8476856320, available=3051323392, percent=64.0, used=5425532928, free=3051323392)"
gradient,0.0,0.010944843292236328,"svmem(total=8476856320, available=3051323392, percent=64.0, used=5425532928, free=3051323392)"
gradient,0.0,0.011968612670898438,"svmem(total=8476856320, available=3051323392, percent=64.0, used=5425532928, free=3051323392)"
Totaal,0.0,4.3017204602559405,"svmem(total=8476856320, available=3051323392, percent=64.0, used=5425532928, free=3051323392)"
