Naam,CPU Percentage,timediff,virtual mem
compair,52.8,2.4951107501983643,"svmem(total=8476856320, available=1662124032, percent=80.4, used=6814732288, free=1662124032)"
compair,30.9,1.9749281406402588,"svmem(total=8476856320, available=1590403072, percent=81.2, used=6886453248, free=1590403072)"
friction,36.1,0.009831905364990234,"svmem(total=8476856320, available=1527357440, percent=82.0, used=6949498880, free=1527357440)"
friction,25.0,0.015226602554321289,"svmem(total=8476856320, available=1527312384, percent=82.0, used=6949543936, free=1527312384)"
narendra4,25.0,0.014763116836547852,"svmem(total=8476856320, available=1526009856, percent=82.0, used=6950846464, free=1526009856)"
narendra4,25.0,0.020314693450927734,"svmem(total=8476856320, available=1524658176, percent=82.0, used=6952198144, free=1524658176)"
pt2,25.0,0.029613494873046875,"svmem(total=8476856320, available=1524482048, percent=82.0, used=6952374272, free=1524482048)"
pt2,50.0,0.04505467414855957,"svmem(total=8476856320, available=1524314112, percent=82.0, used=6952542208, free=1524314112)"
P0Y0_narendra4,25.0,0.020328044891357422,"svmem(total=8476856320, available=1524260864, percent=82.0, used=6952595456, free=1524260864)"
P0Y0_narendra4,25.0,0.01470947265625,"svmem(total=8476856320, available=1524260864, percent=82.0, used=6952595456, free=1524260864)"
P0Y0_compair,26.7,1.9649286270141602,"svmem(total=8476856320, available=1533923328, percent=81.9, used=6942932992, free=1533923328)"
P0Y0_compair,28.3,1.9649856090545654,"svmem(total=8476856320, available=1522954240, percent=82.0, used=6953902080, free=1522954240)"
gradient,0.0,0.012130975723266602,"svmem(total=8476856320, available=1522909184, percent=82.0, used=6953947136, free=1522909184)"
gradient,25.0,0.008036375045776367,"svmem(total=8476856320, available=1522909184, percent=82.0, used=6953947136, free=1522909184)"
Totaal,0.0,8.99994421005249,"svmem(total=8476856320, available=1522905088, percent=82.0, used=6953951232, free=1522905088)"
