Naam,CPU Percentage,timediff,virtual mem
compair,100.0,2.1917998790740967,"svmem(total=8476856320, available=1926651904, percent=77.3, used=6550204416, free=1926651904)"
compair,38.65,2.096348762512207,"svmem(total=8476856320, available=1927651328, percent=77.3, used=6549204992, free=1927651328)"
friction,33.075,0.02103567123413086,"svmem(total=8476856320, available=1912172544, percent=77.4, used=6564683776, free=1912172544)"
friction,25.0,0.019049644470214844,"svmem(total=8476856320, available=1912172544, percent=77.4, used=6564683776, free=1912172544)"
narendra4,25.0,0.01795220375061035,"svmem(total=8476856320, available=1911558144, percent=77.4, used=6565298176, free=1911558144)"
narendra4,25.0,0.016955137252807617,"svmem(total=8476856320, available=1911558144, percent=77.4, used=6565298176, free=1911558144)"
pt2,25.0,0.04484295845031738,"svmem(total=8476856320, available=1911148544, percent=77.5, used=6565707776, free=1911148544)"
pt2,50.0,0.04191470146179199,"svmem(total=8476856320, available=1911148544, percent=77.5, used=6565707776, free=1911148544)"
P0Y0_narendra4,37.5,0.019985198974609375,"svmem(total=8476856320, available=1911148544, percent=77.5, used=6565707776, free=1911148544)"
P0Y0_narendra4,25.0,0.018909931182861328,"svmem(total=8476856320, available=1911148544, percent=77.5, used=6565707776, free=1911148544)"
P0Y0_compair,50.0,2.0936248302459717,"svmem(total=8476856320, available=1913585664, percent=77.4, used=6563270656, free=1913585664)"
P0Y0_compair,33.375,2.070834159851074,"svmem(total=8476856320, available=1911607296, percent=77.4, used=6565249024, free=1911607296)"
gradient,31.225,0.01097869873046875,"svmem(total=8476856320, available=1911574528, percent=77.4, used=6565281792, free=1911574528)"
gradient,25.0,0.010921716690063477,"svmem(total=8476856320, available=1911574528, percent=77.4, used=6565281792, free=1911574528)"
Totaal,25.0,9.157987356185913,"svmem(total=8476856320, available=1911595008, percent=77.4, used=6565261312, free=1911595008)"
