Naam,CPU Percentage,timediff,virtual mem
compair,34.65,2.180147409439087,"svmem(total=8476856320, available=1653522432, percent=80.5, used=6823333888, free=1653522432)"
compair,53.3,2.222057342529297,"svmem(total=8476856320, available=1656864768, percent=80.5, used=6819991552, free=1656864768)"
compair,31.375,2.138291120529175,"svmem(total=8476856320, available=1656422400, percent=80.5, used=6820433920, free=1656422400)"
compair,42.725,2.2442705631256104,"svmem(total=8476856320, available=1656242176, percent=80.5, used=6820614144, free=1656242176)"
compair,38.875,2.1971242427825928,"svmem(total=8476856320, available=1656242176, percent=80.5, used=6820614144, free=1656242176)"
friction,25.0,0.017976999282836914,"svmem(total=8476856320, available=1632940032, percent=80.7, used=6843916288, free=1632940032)"
friction,25.0,0.01895904541015625,"svmem(total=8476856320, available=1632907264, percent=80.7, used=6843949056, free=1632907264)"
friction,25.0,0.01892542839050293,"svmem(total=8476856320, available=1632907264, percent=80.7, used=6843949056, free=1632907264)"
friction,25.0,0.017966747283935547,"svmem(total=8476856320, available=1632944128, percent=80.7, used=6843912192, free=1632944128)"
friction,25.0,0.010984659194946289,"svmem(total=8476856320, available=1632944128, percent=80.7, used=6843912192, free=1632944128)"
narendra4,25.0,0.01898479461669922,"svmem(total=8476856320, available=1632776192, percent=80.7, used=6844080128, free=1632776192)"
narendra4,0.0,0.01694321632385254,"svmem(total=8476856320, available=1632776192, percent=80.7, used=6844080128, free=1632776192)"
narendra4,25.0,0.01792621612548828,"svmem(total=8476856320, available=1632772096, percent=80.7, used=6844084224, free=1632772096)"
narendra4,50.0,0.021972179412841797,"svmem(total=8476856320, available=1632722944, percent=80.7, used=6844133376, free=1632722944)"
narendra4,50.0,0.03392744064331055,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
pt2,25.0,0.03893637657165527,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
pt2,33.325,0.04483985900878906,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
pt2,25.0,0.03690075874328613,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
pt2,25.0,0.05389404296875,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
pt2,25.0,0.029882192611694336,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
P0Y0_narendra4,25.0,0.024941444396972656,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
P0Y0_narendra4,100.0,0.02194046974182129,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
P0Y0_narendra4,25.0,0.023972272872924805,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
P0Y0_narendra4,50.0,0.02593255043029785,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
P0Y0_narendra4,25.0,0.01994633674621582,"svmem(total=8476856320, available=1632075776, percent=80.7, used=6844780544, free=1632075776)"
P0Y0_compair,35.35,2.233065605163574,"svmem(total=8476856320, available=1620770816, percent=80.9, used=6856085504, free=1620770816)"
P0Y0_compair,32.8,2.171157121658325,"svmem(total=8476856320, available=1620058112, percent=80.9, used=6856798208, free=1620058112)"
P0Y0_compair,30.025,2.1293060779571533,"svmem(total=8476856320, available=1621168128, percent=80.9, used=6855688192, free=1621168128)"
P0Y0_compair,32.8,2.1223700046539307,"svmem(total=8476856320, available=1627291648, percent=80.8, used=6849564672, free=1627291648)"
P0Y0_compair,31.25,2.1302971839904785,"svmem(total=8476856320, available=1627815936, percent=80.8, used=6849040384, free=1627815936)"
gradient,0.0,0.01201176643371582,"svmem(total=8476856320, available=1627754496, percent=80.8, used=6849101824, free=1627754496)"
gradient,25.0,0.011928081512451172,"svmem(total=8476856320, available=1627754496, percent=80.8, used=6849101824, free=1627754496)"
gradient,25.0,0.011006832122802734,"svmem(total=8476856320, available=1627754496, percent=80.8, used=6849101824, free=1627754496)"
gradient,0.0,0.011956930160522461,"svmem(total=8476856320, available=1627754496, percent=80.8, used=6849101824, free=1627754496)"
gradient,0.0,0.011941671371459961,"svmem(total=8476856320, available=1627754496, percent=80.8, used=6849101824, free=1627754496)"
Totaal,0.0,4.567692756652832,"svmem(total=8476856320, available=1627754496, percent=80.8, used=6849101824, free=1627754496)"
