Naam,CPU Percentage,timediff,virtual mem
compair,35.1,2.1853325366973877,"svmem(total=8476856320, available=1858052096, percent=78.1, used=6618804224, free=1858052096)"
compair,36.0,2.116048812866211,"svmem(total=8476856320, available=1855586304, percent=78.1, used=6621270016, free=1855586304)"
friction,0.0,0.026979923248291016,"svmem(total=8476856320, available=1825243136, percent=78.5, used=6651613184, free=1825243136)"
friction,0.0,0.008975982666015625,"svmem(total=8476856320, available=1825173504, percent=78.5, used=6651682816, free=1825173504)"
narendra4,0.0,0.0272214412689209,"svmem(total=8476856320, available=1824546816, percent=78.5, used=6652309504, free=1824546816)"
narendra4,0.0,0.014960050582885742,"svmem(total=8476856320, available=1824546816, percent=78.5, used=6652309504, free=1824546816)"
pt2,0.0,0.027925491333007812,"svmem(total=8476856320, available=1824546816, percent=78.5, used=6652309504, free=1824546816)"
pt2,0.0,0.026927709579467773,"svmem(total=8476856320, available=1824546816, percent=78.5, used=6652309504, free=1824546816)"
P0Y0_narendra4,25.0,0.01497507095336914,"svmem(total=8476856320, available=1824546816, percent=78.5, used=6652309504, free=1824546816)"
P0Y0_narendra4,50.0,0.01497507095336914,"svmem(total=8476856320, available=1824546816, percent=78.5, used=6652309504, free=1824546816)"
P0Y0_compair,0.0,2.1411640644073486,"svmem(total=8476856320, available=1837314048, percent=78.3, used=6639542272, free=1837314048)"
P0Y0_compair,0.0,2.1373043060302734,"svmem(total=8476856320, available=1832022016, percent=78.4, used=6644834304, free=1832022016)"
gradient,0.0,0.11803364753723145,"svmem(total=8476856320, available=1834315776, percent=78.4, used=6642540544, free=1834315776)"
gradient,25.0,0.010970115661621094,"svmem(total=8476856320, available=1834315776, percent=78.4, used=6642540544, free=1834315776)"
Totaal,0.0,11.613684892654419,"svmem(total=8476856320, available=1834315776, percent=78.4, used=6642540544, free=1834315776)"
