,P,Y,Ptest,Ytest
0,-10,-0.500000001,-10,-0.500000001
1,-9.5,-0.485000003,-9.9,-0.497000002
2,-9,-0.470000009,-9.8,-0.494000002
3,-8.5,-0.455000025,-9.7,-0.491000002
4,-8,-0.440000068,-9.6,-0.488000003
5,-7.5,-0.425000184,-9.5,-0.485000003
6,-7,-0.410000499,-9.4,-0.482000004
7,-6.5,-0.395001356,-9.3,-0.479000005
8,-6,-0.380003687,-9.2,-0.476000006
9,-5.5,-0.365010021,-9.1,-0.473000007
10,-5,-0.350027239,-9,-0.470000009
11,-4.5,-0.335074037,-8.9,-0.467000011
12,-4,-0.32020121,-8.8,-0.464000014
13,-3.5,-0.305546631,-8.7,-0.461000017
14,-3,-0.291483574,-8.6,-0.45800002
15,-2.5,-0.279015711,-8.5,-0.455000025
16,-2,-0.270791726,-8.4,-0.45200003
17,-1.5,-0.273455524,-8.3,-0.449000037
18,-1,-0.301521753,-8.2,-0.446000045
19,-0.5,-0.376364853,-8.1,-0.443000055
20,0,0,-8,-0.440000068
21,0.5,0.376364853,-7.9,-0.437000082
22,1,0.301521753,-7.8,-0.434000101
23,1.5,0.273455524,-7.7,-0.431000123
24,2,0.270791726,-7.6,-0.42800015
25,2.5,0.279015711,-7.5,-0.425000184
26,3,0.291483574,-7.4,-0.422000224
27,3.5,0.305546631,-7.3,-0.419000274
28,4,0.32020121,-7.2,-0.416000334
29,4.5,0.335074037,-7.1,-0.413000408
30,5,0.350027239,-7,-0.410000499
31,5.5,0.365010021,-6.9,-0.407000609
32,6,0.380003687,-6.8,-0.404000744
33,6.5,0.395001356,-6.7,-0.401000909
34,7,0.410000499,-6.6,-0.39800111
35,7.5,0.425000184,-6.5,-0.395001356
36,8,0.440000068,-6.4,-0.392001656
37,8.5,0.455000025,-6.3,-0.389002023
38,9,0.470000009,-6.2,-0.386002471
39,9.5,0.485000003,-6.1,-0.383003018
40,10,0.500000001,-6,-0.380003687
41,,,-5.9,-0.377004503
42,,,-5.8,-0.3740055
43,,,-5.7,-0.371006717
44,,,-5.6,-0.368008204
45,,,-5.5,-0.365010021
46,,,-5.4,-0.362012239
47,,,-5.3,-0.359014949
48,,,-5.2,-0.356018259
49,,,-5.1,-0.353022301
50,,,-5,-0.350027239
