,P,Y,Ptest,Ytest
0,-6.71430004,0,8.07701043,0
1,-6.71430004,-0.032211922,8.07701043,0.038749538
2,4.981736707,-0.102761391,8.07701043,0.146379316
3,4.981736707,-0.12788285,8.07701043,0.306177239
4,4.981736707,-0.091531274,8.07701043,0.498098349
5,4.981736707,-0.002987177,-0.06980095,0.687793952
6,4.981736707,0.124426552,-0.06980095,0.80640611
7,4.981736707,0.274986648,-0.06980095,0.836969676
8,4.981736707,0.432281737,-3.019284337,0.78020762
9,4.981736707,0.580826593,-3.019284337,0.631262011
10,4.981736707,0.707435389,-3.019284337,0.408423093
11,-8.487062926,0.780457731,-3.019284337,0.139752573
12,-8.487062926,0.713508216,-3.019284337,-0.145033033
13,3.727593119,0.52526056,-3.019284337,-0.41752429
14,3.727593119,0.32173981,9.27807854,-0.63328113
15,3.727593119,0.142401449,9.27807854,-0.700104981
16,3.727593119,0.001868798,-6.234112065,-0.632035043
17,-0.640912666,-0.09735587,-6.234112065,-0.545759547
18,-9.261435676,-0.191222844,-6.234112065,-0.475022419
19,-9.261435676,-0.332248526,-6.234112065,-0.425020614
20,-9.261435676,-0.5159011,-6.234112065,-0.398499692
21,-9.261435676,-0.720792359,-6.234112065,-0.395727994
22,-9.261435676,-0.925565108,-6.234112065,-0.414707053
23,9.088245184,-1.081220047,2.641650309,-0.437216906
24,9.088245184,-1.062492928,2.641650309,-0.405051214
25,9.088245184,-0.859510108,2.641650309,-0.312790996
26,9.088245184,-0.508961797,2.641650309,-0.174861813
27,9.088245184,-0.05797277,2.641650309,-0.008626341
28,9.088245184,0.441337891,2.641650309,0.167533692
29,9.088245184,0.937250662,2.641650309,0.336049206
30,9.088245184,1.383288452,2.641650309,0.481744471
31,-5.75100994,1.718097257,-1.92128657,0.585659704
32,-5.75100994,1.827464264,-1.92128657,0.613305624
33,-5.75100994,1.699687942,-1.92128657,0.562309977
34,-5.75100994,1.36939401,-1.92128657,0.444969074
35,-5.75100994,0.887025177,-1.92128657,0.278670238
36,-5.75100994,0.312575553,-1.92128657,0.083766439
37,-5.75100994,-0.290980067,-1.92128657,-0.118626675
38,1.283130947,-0.852533256,-1.92128657,-0.30869609
39,1.283130947,-1.278906637,-1.92128657,-0.469677269
40,1.283130947,-1.53190262,9.436740384,-0.570771396
41,2.491717649,-1.602189202,9.436740384,-0.536800588
42,2.491717649,-1.492929597,6.421475532,-0.371224716
43,2.491717649,-1.229661253,6.421475532,-0.121131423
44,2.491717649,-0.851885286,-3.897166219,0.160501498
45,2.491717649,-0.406150135,-3.897166219,0.379285969
46,2.491717649,0.059011964,-3.897166219,0.504677778
47,2.491717649,0.497853859,-3.897166219,0.533730895
48,-4.861937889,0.859569141,-3.897166219,0.472871347
49,-4.861937889,1.071175332,-3.897166219,0.336398915
50,0.446969908,1.124260608,-3.897166219,0.144388336
51,0.446969908,1.062244125,-3.897166219,-0.079754751
52,0.446969908,0.910100995,-3.897166219,-0.311819626
53,0.446969908,0.690766006,0.497613304,-0.522042156
54,0.446969908,0.431332462,0.497613304,-0.665059415
55,0.446969908,0.160099593,0.497613304,-0.727007483
56,0.446969908,-0.096212868,0.497613304,-0.70975493
57,0.446969908,-0.314835982,0.497613304,-0.622466855
58,1.62658637,-0.476816034,0.497613304,-0.480045597
59,1.62658637,-0.564848069,0.497613304,-0.3011784
60,1.62658637,-0.575846245,2.12773665,-0.10357649
61,1.62658637,-0.516103379,2.12773665,0.102567457
62,1.62658637,-0.397989444,2.12773665,0.299494631
63,1.62658637,-0.238205871,2.12773665,0.469497647
64,1.62658637,-0.055797197,2.12773665,0.599095096
65,-5.824071763,0.117815677,2.12773665,0.679901664
66,-5.824071763,0.220290155,2.12773665,0.708934512
67,-5.824071763,0.23726048,2.12773665,0.688380664
68,-5.824071763,0.175261917,2.12773665,0.624898632
69,8.560333784,0.070931065,2.12773665,0.52856452
70,8.560333784,0.028486505,7.390397919,0.420109707
71,-7.798394789,0.041713827,7.390397919,0.343975977
72,-7.798394789,0.001322532,7.390397919,0.312370422
73,-7.798394789,-0.108945103,7.390397919,0.324038317
74,-7.732294207,-0.271926315,7.390397919,0.373760521
75,-7.732294207,-0.466808669,7.390397919,0.453223288
76,8.230655314,-0.646238658,7.390397919,0.552097342
77,8.230655314,-0.694494988,4.149140071,0.653960848
78,8.230655314,-0.594943398,4.149140071,0.728558844
79,8.230655314,-0.371044587,4.149140071,0.766458508
80,8.230655314,-0.05576161,4.149140071,0.767575468
81,8.230655314,0.31245519,4.149140071,0.735304652
82,8.230655314,0.693819017,9.338548448,0.684264105
83,8.230655314,1.051088572,9.338548448,0.653649954
84,8.230655314,1.352840369,9.338548448,0.652392714
85,8.230655314,1.575880599,9.338548448,0.677817353
86,-2.48725349,1.689311642,9.338548448,0.724985373
87,-2.48725349,1.625543433,6.751846135,0.783191553
88,-2.48725349,1.390964458,6.751846135,0.829646109
89,-2.48725349,1.023967275,6.751846135,0.857103039
90,-0.366213086,0.575218893,9.015456849,0.868441049
91,-0.366213086,0.108170025,9.015456849,0.87834113
92,-0.366213086,-0.328097562,9.015456849,0.889488962
93,-0.366213086,-0.695341507,6.122554825,0.896033687
94,-0.366213086,-0.965472608,6.122554825,0.879626248
95,-0.366213086,-1.122239475,6.122554825,0.839547781
96,-0.366213086,-1.161635686,6.122554825,0.78183318
97,-0.366213086,-1.091112622,6.122554825,0.713607407
98,-0.366213086,-0.927785912,6.122554825,0.642309358
99,9.981261257,-0.679160604,0.46019386,0.565799522
100,9.981261257,-0.311827863,0.46019386,0.456230666
101,9.981261257,0.144171957,0.46019386,0.318376072
102,-8.473173514,0.607512136,0.46019386,0.167937141
103,-8.473173514,0.917860819,0.46019386,0.020308705
104,-8.473173514,1.032091943,0.46019386,-0.110844652
105,-8.473173514,0.958088302,0.46019386,-0.214713491
106,-8.473173514,0.7207467,-0.701895291,-0.285971936
107,-8.473173514,0.358009278,-0.701895291,-0.328297187
108,-8.473173514,-0.083958597,-0.701895291,-0.342236437
109,-8.473173514,-0.555907613,-0.701895291,-0.329175491
110,-8.473173514,-1.010445758,-0.701895291,-0.29291635
111,-8.473173514,-1.406334072,-0.701895291,-0.239088473
112,-4.507855448,-1.705377919,-0.701895291,-0.174443608
113,-4.507855448,-1.863666817,-0.701895291,-0.106111816
114,-6.322371155,-1.876491119,-0.701895291,-0.040892583
115,-6.322371155,-1.767879787,5.134110347,0.024796755
116,-6.322371155,-1.562430944,5.134110347,0.121366428
117,-6.322371155,-1.288748583,5.134110347,0.245744446
118,-6.322371155,-0.979154026,5.134110347,0.383546649
119,-6.322371155,-0.666281928,5.134110347,0.520490844
120,-6.322371155,-0.379970659,5.134110347,0.643734938
121,-6.322371155,-0.144712483,5.134110347,0.742951835
122,-6.322371155,0.022149082,5.134110347,0.811064695
123,8.624665616,0.135556696,5.134110347,0.844605491
124,8.624665616,0.283772541,-0.422870335,0.834708907
125,8.624665616,0.472496487,-0.422870335,0.751540773
126,8.624665616,0.68006336,-0.422870335,0.601371754
127,8.624665616,0.885091449,-0.422870335,0.404749626
128,1.865903704,1.0575392,-0.422870335,0.184650676
129,1.865903704,1.141782967,-8.661913627,-0.049248668
130,1.865903704,1.127866128,-8.661913627,-0.325308486
131,3.041919106,1.028345795,-8.661913627,-0.626142117
132,3.041919106,0.868146388,9.715681382,-0.891270793
133,3.041919106,0.669970272,9.715681382,-0.983647253
134,3.041919106,0.45613375,9.715681382,-0.882714697
135,3.041919106,0.248307358,9.715681382,-0.616394151
136,3.041919106,0.065532218,9.715681382,-0.225557653
137,3.041919106,-0.077326697,-1.414091894,0.22305589
138,3.041919106,-0.170585988,-1.414091894,0.611708755
139,3.041919106,-0.210164587,-1.414091894,0.892302914
140,-9.221445216,-0.217275156,-1.414091894,1.048641187
