Naam,CPU Percentage,timediff,virtual mem
compair,0.0,0.004394054412841797,"svmem(total=1033879552, available=752320512, percent=27.2, used=188055552, free=666931200, active=152481792, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
compair,0.0,0.004473686218261719,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153096192, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
friction,0.0,0.002208709716796875,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153096192, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
friction,0.0,0.002034902572631836,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153096192, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
narendra4,25.0,0.002760648727416992,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153198592, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
narendra4,25.0,0.0029022693634033203,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153198592, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
pt2,0.0,0.003759145736694336,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153198592, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
pt2,0.0,0.0037708282470703125,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153198592, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
P0Y0_narendra4,25.0,0.0017709732055664062,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153198592, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
P0Y0_narendra4,25.0,0.00180816650390625,"svmem(total=1033879552, available=751685632, percent=27.3, used=188690432, free=666296320, active=153198592, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
P0Y0_compair,25.0,0.00415492057800293,"svmem(total=1033879552, available=751558656, percent=27.3, used=188817408, free=666169344, active=153300992, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
P0Y0_compair,25.0,0.004263639450073242,"svmem(total=1033879552, available=751558656, percent=27.3, used=188817408, free=666169344, active=153300992, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
gradient,25.0,0.07483983039855957,"svmem(total=1033879552, available=751558656, percent=27.3, used=188817408, free=666169344, active=153300992, inactive=80498688, buffers=15351808, cached=163540992, shared=18677760, slab=63881216)"
gradient,25.0,0.12276625633239746,"svmem(total=1033879552, available=751616000, percent=27.3, used=188809216, free=666169344, active=153411584, inactive=80523264, buffers=15351808, cached=163549184, shared=18677760, slab=63881216)"
Totaal,0.0,0.11795401573181152,"svmem(total=1033879552, available=751616000, percent=27.3, used=188809216, free=666169344, active=153411584, inactive=80523264, buffers=15351808, cached=163549184, shared=18677760, slab=63881216)"
