Naam,CPU Percentage,timediff
compair,25.0,0.15979599952697754
compair,25.0,0.16146612167358398
compair,25.0,0.15913033485412598
compair,25.0,0.15916681289672852
compair,25.0,0.15965700149536133
compair,25.0,0.1594541072845459
compair,25.0,0.15923309326171875
compair,25.0,0.15935945510864258
compair,25.0,0.15923762321472168
compair,26.475,0.1596531867980957
compair,25.0,0.1593484878540039
compair,25.0,0.1591503620147705
compair,25.0,0.159653902053833
compair,25.0,0.1593935489654541
compair,25.0,0.15949320793151855
compair,25.0,0.15967583656311035
compair,26.475,0.15898513793945312
compair,25.0,0.15972328186035156
compair,25.0,0.15890097618103027
compair,25.0,0.15999388694763184
friction,25.0,0.055368900299072266
friction,25.0,0.0555269718170166
friction,25.0,0.05553317070007324
friction,25.0,0.05626344680786133
friction,25.0,0.055379390716552734
friction,25.0,0.055489540100097656
friction,25.0,0.05536031723022461
friction,25.0,0.05537080764770508
friction,25.0,0.05521273612976074
friction,25.0,0.055403709411621094
friction,25.0,0.05547475814819336
friction,25.0,0.05546975135803223
friction,25.0,0.05550193786621094
friction,25.0,0.05545306205749512
friction,25.0,0.05534672737121582
friction,25.0,0.055364370346069336
friction,25.0,0.05558514595031738
friction,25.0,0.05511116981506348
friction,25.0,0.05534100532531738
friction,25.0,0.05541539192199707
narendra4,26.05,0.22966837882995605
narendra4,25.0,0.22955822944641113
narendra4,25.0,0.22997140884399414
narendra4,25.0,0.22942447662353516
narendra4,25.0,0.22975921630859375
narendra4,25.0,0.22974586486816406
narendra4,25.0,0.2306528091430664
narendra4,25.0,0.2295548915863037
narendra4,25.0,0.23053717613220215
narendra4,26.05,0.2300267219543457
narendra4,25.0,0.23078298568725586
narendra4,25.0,0.2297499179840088
narendra4,25.0,0.23040103912353516
narendra4,24.9,0.24774980545043945
narendra4,25.0,0.23171567916870117
narendra4,25.0,0.22896599769592285
narendra4,25.0,0.23074889183044434
narendra4,25.0,0.2304551601409912
narendra4,25.0,0.2310624122619629
narendra4,25.0,0.2297680377960205
pt2,25.0,0.11923885345458984
pt2,25.0,0.11856985092163086
pt2,25.0,0.119232177734375
pt2,25.0,0.11857724189758301
pt2,25.0,0.11874842643737793
pt2,25.0,0.1186521053314209
pt2,25.0,0.11858844757080078
pt2,25.0,0.11812591552734375
pt2,25.0,0.11915135383605957
pt2,25.0,0.11860418319702148
pt2,25.0,0.11860013008117676
pt2,25.0,0.11829543113708496
pt2,25.0,0.11849284172058105
pt2,25.0,0.11840987205505371
pt2,25.0,0.11884212493896484
pt2,25.0,0.11870408058166504
pt2,25.0,0.11850690841674805
pt2,25.0,0.11860942840576172
pt2,25.0,0.11858487129211426
pt2,25.0,0.11859703063964844
P0Y0_narendra4,25.0,0.0451352596282959
P0Y0_narendra4,25.0,0.0447545051574707
P0Y0_narendra4,25.0,0.04471278190612793
P0Y0_narendra4,25.0,0.04470992088317871
P0Y0_narendra4,25.0,0.04481863975524902
P0Y0_narendra4,29.175,0.04464554786682129
P0Y0_narendra4,25.0,0.04508256912231445
P0Y0_narendra4,25.0,0.04492664337158203
P0Y0_narendra4,25.0,0.044825077056884766
