Naam,CPU Percentage,timediff
compair,25.0,0.1207888126373291
compair,26.925,0.12184882164001465
compair,25.0,0.12107348442077637
compair,25.0,0.12204933166503906
compair,26.925,0.12269902229309082
compair,25.0,0.12108325958251953
compair,25.0,0.12058448791503906
compair,25.0,0.1218721866607666
compair,25.0,0.12024617195129395
compair,26.925,0.1234428882598877
compair,25.0,0.1203927993774414
compair,25.0,0.11955118179321289
compair,26.925,0.12201571464538574
compair,25.0,0.12048602104187012
compair,25.0,0.12050986289978027
compair,25.0,0.12094306945800781
compair,25.0,0.11955118179321289
compair,26.925,0.12341451644897461
compair,25.0,0.12029528617858887
compair,25.0,0.12089729309082031
friction,25.0,0.04291892051696777
friction,25.0,0.042536258697509766
friction,25.0,0.042177438735961914
friction,25.0,0.042360544204711914
friction,25.0,0.04207611083984375
friction,25.0,0.04232215881347656
friction,25.0,0.04208230972290039
friction,25.0,0.04231095314025879
friction,25.0,0.042014122009277344
friction,25.0,0.0424044132232666
friction,25.0,0.0433812141418457
friction,25.0,0.04237031936645508
friction,25.0,0.04251909255981445
friction,25.0,0.0425717830657959
friction,25.0,0.042282819747924805
friction,29.175,0.04314231872558594
friction,25.0,0.04215836524963379
friction,25.0,0.042530059814453125
friction,25.0,0.04217100143432617
friction,25.0,0.045773983001708984
narendra4,26.4,0.17273402214050293
narendra4,25.0,0.1718883514404297
narendra4,25.0,0.17401671409606934
narendra4,25.0,0.17132854461669922
narendra4,25.0,0.17677664756774902
narendra4,25.0,0.17293787002563477
narendra4,25.0,0.17281556129455566
narendra4,25.0,0.17180991172790527
narendra4,25.0,0.17084670066833496
narendra4,25.0,0.17359709739685059
narendra4,26.4,0.17525148391723633
narendra4,25.0,0.17241215705871582
narendra4,25.0,0.17295551300048828
narendra4,25.0,0.17099833488464355
narendra4,25.0,0.17202472686767578
narendra4,25.0,0.17265868186950684
narendra4,25.0,0.1710648536682129
narendra4,25.0,0.17227435111999512
narendra4,25.0,0.17192840576171875
narendra4,27.8,0.17406320571899414
pt2,25.0,0.08925390243530273
pt2,25.0,0.09008550643920898
pt2,27.5,0.0888361930847168
pt2,25.0,0.08947491645812988
pt2,25.0,0.08938908576965332
pt2,25.0,0.08990335464477539
pt2,25.0,0.0891256332397461
pt2,25.0,0.09011077880859375
pt2,27.5,0.08950495719909668
pt2,25.0,0.09106183052062988
pt2,25.0,0.08902955055236816
pt2,25.0,0.08993673324584961
pt2,25.0,0.08944487571716309
pt2,25.0,0.08939743041992188
pt2,25.0,0.0892641544342041
pt2,25.0,0.08945441246032715
pt2,25.0,0.08910846710205078
pt2,25.0,0.09089827537536621
pt2,25.0,0.0892951488494873
pt2,25.0,0.08951854705810547
P0Y0_narendra4,25.0,0.03458237648010254
P0Y0_narendra4,25.0,0.034207820892333984
P0Y0_narendra4,25.0,0.03436160087585449
P0Y0_narendra4,25.0,0.03415179252624512
P0Y0_narendra4,25.0,0.03402280807495117
P0Y0_narendra4,25.0,0.03414177894592285
P0Y0_narendra4,25.0,0.03420209884643555
P0Y0_narendra4,25.0,0.034017324447631836
P0Y0_narendra4,25.0,0.03400254249572754
P0Y0_narendra4,25.0,0.03432011604309082
P0Y0_narendra4,25.0,0.03429532051086426
P0Y0_narendra4,25.0,0.034513235092163086
P0Y0_narendra4,25.0,0.03392314910888672
P0Y0_narendra4,25.0,0.03383636474609375
P0Y0_narendra4,25.0,0.034017086029052734
P0Y0_narendra4,25.0,0.03396248817443848
P0Y0_narendra4,25.0,0.03566741943359375
P0Y0_narendra4,25.0,0.037214040756225586
P0Y0_narendra4,25.0,0.034192562103271484
P0Y0_narendra4,25.0,0.03411436080932617
P0Y0_compair,25.0,0.02539229393005371
P0Y0_compair,25.0,0.025609970092773438
P0Y0_compair,25.0,0.025356292724609375
P0Y0_compair,33.325,0.02632308006286621
P0Y0_compair,25.0,0.025483369827270508
P0Y0_compair,25.0,0.025491952896118164
P0Y0_compair,25.0,0.025318145751953125
P0Y0_compair,25.0,0.025678157806396484
P0Y0_compair,25.0,0.02555227279663086
P0Y0_compair,25.0,0.025455951690673828
P0Y0_compair,25.0,0.02537369728088379
P0Y0_compair,25.0,0.025404930114746094
P0Y0_compair,25.0,0.025411605834960938
P0Y0_compair,25.0,0.025489330291748047
P0Y0_compair,25.0,0.02534174919128418
P0Y0_compair,25.0,0.025606632232666016
P0Y0_compair,25.0,0.025524377822875977
P0Y0_compair,25.0,0.025569677352905273
