Naam,CPU Percentage,timediff
compair,33.325,0.02051544189453125
compair,33.325,0.021541833877563477
compair,33.325,0.02001953125
compair,41.675,0.021861791610717773
compair,62.5,0.021786928176879883
compair,50.0,0.02116680145263672
compair,70.85,0.022242069244384766
compair,58.325,0.022187471389770508
compair,41.65,0.022464990615844727
compair,62.5,0.022559642791748047
compair,45.475,0.06161022186279297
compair,58.325,0.02233600616455078
compair,37.5,0.02196478843688965
compair,33.325,0.022803783416748047
compair,33.325,0.02237248420715332
compair,45.825,0.02196955680847168
compair,25.0,0.021004438400268555
compair,33.325,0.021376848220825195
compair,70.85,0.02294778823852539
compair,25.0,0.021868228912353516
friction,50.0,0.007816791534423828
friction,37.5,0.007265806198120117
friction,50.0,0.00769495964050293
friction,25.0,0.00747370719909668
friction,25.0,0.007723808288574219
friction,25.0,0.007235050201416016
friction,25.0,0.007219552993774414
friction,25.0,0.0073239803314208984
friction,50.0,0.007873773574829102
friction,25.0,0.0071985721588134766
friction,37.5,0.0074656009674072266
friction,25.0,0.007489442825317383
friction,37.5,0.0073201656341552734
friction,12.5,0.00729823112487793
friction,25.0,0.007745504379272461
friction,50.0,0.007735013961791992
friction,25.0,0.007765293121337891
friction,12.5,0.0069730281829833984
friction,75.0,0.008217573165893555
friction,50.0,0.007483720779418945
narendra4,25.0,0.030632734298706055
narendra4,33.325,0.030925512313842773
narendra4,39.575,0.030332088470458984
narendra4,33.325,0.03139495849609375
narendra4,31.25,0.03137373924255371
narendra4,62.5,0.032681941986083984
narendra4,50.0,0.031458139419555664
narendra4,39.575,0.03203272819519043
narendra4,33.325,0.031828880310058594
narendra4,49.575,0.030778169631958008
narendra4,47.9,0.03094959259033203
narendra4,62.5,0.031365394592285156
narendra4,43.75,0.03000640869140625
narendra4,37.5,0.028832435607910156
narendra4,25.0,0.029466629028320312
narendra4,25.0,0.02895808219909668
narendra4,31.25,0.02834010124206543
narendra4,33.325,0.032002925872802734
narendra4,54.15,0.03249669075012207
narendra4,47.9,0.030039072036743164
pt2,25.0,0.01585531234741211
pt2,45.825,0.016356945037841797
pt2,25.0,0.016584396362304688
pt2,62.5,0.016855478286743164
pt2,37.5,0.016109466552734375
pt2,25.0,0.01567220687866211
pt2,37.5,0.015602350234985352
pt2,45.825,0.014951944351196289
pt2,25.0,0.014734983444213867
pt2,25.0,0.0158689022064209
pt2,25.0,0.015513420104980469
pt2,25.0,0.014296293258666992
pt2,33.325,0.014892578125
pt2,62.5,0.017527103424072266
pt2,87.5,0.01827716827392578
pt2,87.5,0.016613245010375977
pt2,50.0,0.01719355583190918
pt2,91.675,0.018586158752441406
pt2,91.675,0.018016576766967773
pt2,25.0,0.014861822128295898
P0Y0_narendra4,25.0,0.005639791488647461
P0Y0_narendra4,62.5,0.00633549690246582
P0Y0_narendra4,25.0,0.00597834587097168
P0Y0_narendra4,50.0,0.00651097297668457
P0Y0_narendra4,50.0,0.0061931610107421875
P0Y0_narendra4,25.0,0.005850791931152344
P0Y0_narendra4,25.0,0.006382465362548828
P0Y0_narendra4,37.5,0.0064051151275634766
P0Y0_narendra4,37.5,0.006486415863037109
P0Y0_narendra4,25.0,0.0062389373779296875
P0Y0_narendra4,75.0,0.006678581237792969
P0Y0_narendra4,75.0,0.006560802459716797
P0Y0_narendra4,50.0,0.007145881652832031
P0Y0_narendra4,75.0,0.006731748580932617
P0Y0_narendra4,37.5,0.006773471832275391
P0Y0_narendra4,37.5,0.0065996646881103516
P0Y0_narendra4,25.0,0.006797313690185547
P0Y0_narendra4,25.0,0.006762027740478516
P0Y0_narendra4,75.0,0.006651401519775391
P0Y0_narendra4,50.0,0.006619691848754883
P0Y0_compair,25.0,0.005077838897705078
P0Y0_compair,100.0,0.0057086944580078125
P0Y0_compair,75.0,0.005010366439819336
P0Y0_compair,25.0,0.004615306854248047
P0Y0_compair,25.0,0.004896640777587891
P0Y0_compair,25.0,0.004687786102294922
P0Y0_compair,50.0,0.005236148834228516
P0Y0_compair,37.5,0.0046977996826171875
P0Y0_compair,25.0,0.004675626754760742
P0Y0_compair,37.5,0.004535675048828125
P0Y0_compair,25.0,0.004752635955810547
P0Y0_compair,25.0,0.004750967025756836
P0Y0_compair,25.0,0.0046999454498291016
P0Y0_compair,25.0,0.004436016082763672
P0Y0_compair,25.0,0.004612922668457031
P0Y0_compair,25.0,0.004136323928833008
P0Y0_compair,75.0,0.00533747673034668
P0Y0_compair,25.0,0.004513978958129883
P0Y0_compair,50.0,0.004842042922973633
P0Y0_compair,25.0,0.00471806526184082
gradient,53.675,0.5685451030731201
gradient,45.825,0.5117354393005371
gradient,47.675,0.4970242977142334
gradient,46.425,0.4975302219390869
gradient,46.925,0.501431941986084
gradient,46.625,0.49520015716552734
gradient,48.25,0.5004816055297852
gradient,43.6,0.49373888969421387
gradient,45.575,0.4958925247192383
gradient,45.25,0.5015487670898438
gradient,46.075,0.496152400970459
gradient,46.85,0.4924466609954834
gradient,45.35,0.4958763122558594
gradient,43.8,0.49318552017211914
gradient,45.725,0.4967496395111084
gradient,43.5,0.4975595474243164
gradient,46.6,0.4966099262237549
gradient,45.7,0.49803590774536133
gradient,45.925,0.5058925151824951
gradient,45.125,0.49435901641845703
FashionMNIST,28.575,0.4724464416503906
FashionMNIST,33.25,0.4710869789123535
FashionMNIST,32.375,0.4734690189361572
FashionMNIST,32.275,0.47308802604675293
FashionMNIST,33.9,0.47406888008117676
FashionMNIST,32.6,0.473233699798584
FashionMNIST,34.5,0.47188353538513184
FashionMNIST,32.0,0.47455549240112305
FashionMNIST,31.05,0.47487950325012207
FashionMNIST,33.975,0.4731729030609131
FashionMNIST,29.525,0.47014641761779785
FashionMNIST,32.3,0.4745006561279297
FashionMNIST,30.425,0.47201013565063477
FashionMNIST,33.1,0.47437381744384766
FashionMNIST,35.725,0.47478437423706055
FashionMNIST,33.85,0.47330451011657715
FashionMNIST,33.1,0.47156262397766113
FashionMNIST,33.725,0.47486162185668945
FashionMNIST,35.525,0.4769129753112793
FashionMNIST,33.875,0.4754517078399658
NumberMNIST,31.775,0.5411756038665771
NumberMNIST,32.875,0.5404942035675049
NumberMNIST,35.3,0.5414760112762451
NumberMNIST,32.825,0.5440735816955566
NumberMNIST,34.025,0.5434615612030029
NumberMNIST,33.15,0.5473496913909912
NumberMNIST,34.6,0.5498886108398438
NumberMNIST,42.95,0.6919963359832764
NumberMNIST,37.875,0.6236464977264404
NumberMNIST,43.45,0.6963052749633789
NumberMNIST,43.775,0.6868977546691895
NumberMNIST,37.625,0.6615540981292725
NumberMNIST,36.95,0.6009676456451416
NumberMNIST,33.875,0.5670413970947266
NumberMNIST,35.85,0.5675268173217773
NumberMNIST,37.625,0.5712673664093018
NumberMNIST,35.95,0.5589244365692139
NumberMNIST,38.0,0.6240420341491699
NumberMNIST,34.375,0.5657360553741455
NumberMNIST,33.475,0.545001745223999
catsVSdogs,40.95,0.14879179000854492
catsVSdogs,36.425,0.14846014976501465
catsVSdogs,36.225,0.15313005447387695
catsVSdogs,36.925,0.1437680721282959
catsVSdogs,35.675,0.14661645889282227
catsVSdogs,30.425,0.14507508277893066
catsVSdogs,36.55,0.14597129821777344
catsVSdogs,33.15,0.1432039737701416
catsVSdogs,33.125,0.14648723602294922
catsVSdogs,36.025,0.143052339553833
catsVSdogs,37.9,0.14741086959838867
catsVSdogs,34.425,0.14577627182006836
catsVSdogs,31.025,0.14553070068359375
catsVSdogs,31.225,0.14302325248718262
catsVSdogs,37.125,0.14533400535583496
catsVSdogs,35.375,0.1431746482849121
catsVSdogs,32.675,0.14612793922424316
catsVSdogs,40.95,0.1425325870513916
catsVSdogs,35.325,0.15012717247009277
catsVSdogs,32.775,0.14577674865722656
Im Rec,57.5,3.13103985786438
Im Rec,62.375,3.443596601486206
Im Rec,59.825,3.2921764850616455
Im Rec,62.925,3.4909372329711914
Im Rec,58.075,3.2065329551696777
Im Rec,59.5,3.223315954208374
Im Rec,64.35,3.523508310317993
Im Rec,60.95,3.280731678009033
Im Rec,59.275,3.3039536476135254
Im Rec,60.225,3.305842638015747
Im Rec,61.35,3.419804811477661
Im Rec,57.55,3.1187827587127686
Im Rec,55.675,3.0524494647979736
Im Rec,56.175,3.0534515380859375
Im Rec,56.65,3.057706117630005
Im Rec,55.575,3.0477888584136963
Im Rec,56.0,3.133974313735962
Im Rec,55.975,3.0460472106933594
Im Rec,61.675,3.351804256439209
Im Rec,59.2,3.239023208618164
Totaal,13.975,5.035146284103393
