Naam,CPU Percentage,timediff
compair,83.925,0.08461713790893555
compair,75.0,0.01563429832458496
compair,87.5,0.03124213218688965
compair,75.0,0.031247615814208984
compair,75.0,0.031243562698364258
compair,50.0,0.022127389907836914
compair,25.0,0.031246662139892578
compair,25.0,0.03126883506774902
compair,25.0,0.03124213218688965
compair,25.0,0.015624761581420898
compair,25.0,0.015620946884155273
compair,50.0,0.015621423721313477
compair,50.0,0.015629291534423828
compair,50.0,0.01564764976501465
compair,25.0,0.015622377395629883
compair,25.0,0.015651226043701172
compair,25.0,0.03125333786010742
compair,25.0,0.03120732307434082
compair,25.0,0.022152185440063477
compair,25.0,0.015595197677612305
friction,25.0,0.01564931869506836
friction,25.0,0.015619993209838867
friction,25.0,0.006516456604003906
friction,25.0,0.015621662139892578
friction,25.0,0.015594005584716797
friction,25.0,0.015621185302734375
friction,75.0,0.015620708465576172
friction,25.0,0.01562643051147461
friction,25.0,0.01562190055847168
friction,25.0,0.015621185302734375
friction,50.0,0.015620946884155273
friction,25.0,0.006505012512207031
friction,25.0,0.015625
friction,50.0,0.015623331069946289
friction,50.0,0.015619516372680664
friction,50.0,0.01562190055847168
friction,50.0,0.015627384185791016
friction,50.0,0.015624761581420898
friction,50.0,0.015617609024047852
friction,50.0,0.01562047004699707
narendra4,75.0,0.031249523162841797
narendra4,50.0,0.031242847442626953
narendra4,37.5,0.022127389907836914
narendra4,66.675,0.04686379432678223
narendra4,62.5,0.037749290466308594
narendra4,25.0,0.03124690055847168
narendra4,25.0,0.03126955032348633
narendra4,25.0,0.03780341148376465
narendra4,25.0,0.03124260902404785
narendra4,50.0,0.03773808479309082
narendra4,25.0,0.0312807559967041
narendra4,25.0,0.0312349796295166
narendra4,25.0,0.0220949649810791
narendra4,37.5,0.031243085861206055
narendra4,25.0,0.031267642974853516
narendra4,25.0,0.02213430404663086
narendra4,25.0,0.015620708465576172
narendra4,25.0,0.031240463256835938
narendra4,25.0,0.015651941299438477
narendra4,25.0,0.031244516372680664
pt2,50.0,0.015594005584716797
pt2,25.0,0.006506204605102539
pt2,50.0,0.01561427116394043
pt2,50.0,0.015621423721313477
pt2,25.0,0.015620946884155273
pt2,25.0,0.022153139114379883
pt2,25.0,0.01565074920654297
pt2,25.0,0.01559591293334961
pt2,25.0,0.015620708465576172
pt2,25.0,0.022139787673950195
pt2,25.0,0.015662193298339844
pt2,25.0,0.015622615814208984
pt2,25.0,0.015620946884155273
pt2,25.0,0.015594959259033203
pt2,25.0,0.015651464462280273
pt2,25.0,0.01562190055847168
pt2,25.0,0.01562190055847168
pt2,50.0,0.015593767166137695
pt2,50.0,0.022127628326416016
pt2,25.0,0.015584230422973633
P0Y0_narendra4,25.0,0.01558232307434082
P0Y0_narendra4,25.0,0.015646934509277344
P0Y0_narendra4,25.0,0.015653371810913086
P0Y0_narendra4,25.0,0.015620946884155273
P0Y0_narendra4,25.0,0.015594005584716797
P0Y0_narendra4,25.0,0.01561880111694336
P0Y0_narendra4,25.0,0.015594005584716797
P0Y0_narendra4,62.5,0.03124713897705078
