Naam,CPU Percentage,timediff,virtual mem
compair,8.825,0.0624842643737793,
compair,8.825,0.015028953552246094,
compair,5.875,0.015045881271362305,
compair,0.0,0.015621423721313477,
compair,11.45,0.015136957168579102,
compair,8.35,0.006035804748535156,
compair,2.95,0.01522207260131836,
compair,1.475,0.015621662139892578,
compair,27.925,0.015272140502929688,
compair,0.0,0.015620708465576172,
compair,11.75,0.015621662139892578,
compair,35.3,0.015042304992675781,
compair,18.725,0.02213120460510254,
compair,15.674999999999999,0.015045881271362305,
compair,5.9,0.01562047004699707,
compair,8.825000000000001,0.015031099319458008,
compair,4.675,0.015042304992675781,
compair,0.0,0.005553007125854492,
compair,0.0,0.02190089225769043,
compair,17.65,0.015043973922729492,
friction,0.0,0.0,
friction,1.475,0.006035566329956055,
friction,0.0,0.0,
friction,5.9,0.0,
friction,0.0,0.0,
friction,2.775,0.0,
friction,0.0,0.006036043167114258,
friction,7.125,0.0,
friction,0.0,0.0,
friction,4.7,0.0,
friction,0.0,0.0,
friction,7.825,0.00553441047668457,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,6.225,0.0,
friction,0.0,0.00553441047668457,
friction,0.0,0.0,
friction,0.0,0.0,
friction,7.825,0.0,
narendra4,0.0,0.01564645767211914,
narendra4,1.55,0.015033960342407227,
narendra4,0.0,0.015030145645141602,
narendra4,5.875,0.015038013458251953,
narendra4,0.0,0.015033245086669922,
narendra4,0.0,0.015646696090698242,
narendra4,48.6,0.015053033828735352,
narendra4,0.0,0.015038490295410156,
narendra4,0.0,0.015651702880859375,
narendra4,0.0,0.021686315536499023,
narendra4,5.9,0.0215604305267334,
narendra4,0.0,0.015030145645141602,
narendra4,1.475,0.015630006790161133,
narendra4,7.8,0.015297174453735352,
narendra4,1.475,0.01504373550415039,
narendra4,0.0,0.015004396438598633,
narendra4,0.0,0.015043258666992188,
narendra4,5.55,0.015027999877929688,
narendra4,0.0,0.015036821365356445,
narendra4,0.0,0.015655040740966797,
pt2,5.574999999999999,0.01500248908996582,
pt2,0.0,0.005534648895263672,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,6.175000000000001,0.0,
pt2,0.0,0.0060350894927978516,
pt2,0.0,0.015027761459350586,
pt2,0.0,0.015043973922729492,
