Naam,CPU Percentage,timediff,virtual mem
compair,0.0,0.0008685588836669922,"svmem(total=8234958848, available=4066672640, percent=50.6, used=3675025408, free=1265864704, active=4518256640, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
compair,0.0,0.0006988048553466797,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
friction,0.0,0.0003726482391357422,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
friction,0.0,0.0003483295440673828,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
narendra4,0.0,0.0004458427429199219,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
narendra4,0.0,0.0004363059997558594,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
pt2,0.0,0.0005526542663574219,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
pt2,0.0,0.0005564689636230469,"svmem(total=8234958848, available=4066156544, percent=50.6, used=3675541504, free=1265348608, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
P0Y0_narendra4,0.0,0.00031375885009765625,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
P0Y0_narendra4,0.0,0.0003113746643066406,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518785024, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
P0Y0_compair,0.0,0.0006608963012695312,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518961152, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
P0Y0_compair,0.0,0.0006022453308105469,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518961152, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
gradient,25.0,0.012372732162475586,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518961152, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
gradient,25.0,0.020279407501220703,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518961152, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
Totaal,0.0,0.019410014152526855,"svmem(total=8234958848, available=4065898496, percent=50.6, used=3675799552, free=1265090560, active=4518961152, inactive=1924530176, buffers=231444480, cached=3062624256, shared=183685120, slab=235667456)"
