Naam,CPU Percentage,timediff,virtual mem
compair,0.0,0.0007224083,"svmem(total=8234958848, available=2689318912, percent=67.3, used=4827906048, free=841703424, active=4856274944, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253562880)"
compair,0.0,0.0006437302,"svmem(total=8234958848, available=2689060864, percent=67.3, used=4828164096, free=841445376, active=4856627200, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253562880)"
compair,0.0,0.0007841587,"svmem(total=8234958848, available=2668285952, percent=67.6, used=4848939008, free=820670464, active=4856627200, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253562880)"
compair,0.0,0.00070858,"svmem(total=8234958848, available=2668285952, percent=67.6, used=4848939008, free=820670464, active=4856803328, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253562880)"
compair,0.0,0.0006992817,"svmem(total=8234958848, available=2668027904, percent=67.6, used=4849197056, free=820412416, active=4856815616, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253681664)"
compair,0.0,0.0006465912,"svmem(total=8234958848, available=2667925504, percent=67.6, used=4849299456, free=820310016, active=4856807424, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253644800)"
compair,0.0,0.0007281303,"svmem(total=8234958848, available=2667925504, percent=67.6, used=4849299456, free=820310016, active=4856807424, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253644800)"
compair,0.0,0.0006041527,"svmem(total=8234958848, available=2667925504, percent=67.6, used=4849299456, free=820310016, active=4856807424, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253644800)"
compair,0.0,0.0006389618,"svmem(total=8234958848, available=2667925504, percent=67.6, used=4849299456, free=820310016, active=4856807424, inactive=2025582592, buffers=211603456, cached=2353745920, shared=399966208, slab=253644800)"
compair,0.0,0.0006005764,"svmem(total=8234958848, available=2667970560, percent=67.6, used=4849258496, free=820355072, active=4856729600, inactive=2025590784, buffers=211603456, cached=2353741824, shared=399966208, slab=253726720)"
compair,0.0,0.0006828308,"svmem(total=8234958848, available=2668003328, percent=67.6, used=4849225728, free=820387840, active=4856729600, inactive=2025590784, buffers=211603456, cached=2353741824, shared=399966208, slab=253693952)"
compair,0.0,0.0006005764,"svmem(total=8234958848, available=2668003328, percent=67.6, used=4849225728, free=820387840, active=4856729600, inactive=2025590784, buffers=211603456, cached=2353741824, shared=399966208, slab=253693952)"
compair,0.0,0.0006427765,"svmem(total=8234958848, available=2668003328, percent=67.6, used=4849225728, free=820387840, active=4856729600, inactive=2025590784, buffers=211603456, cached=2353741824, shared=399966208, slab=253693952)"
