Naam,CPU Percentage,timediff
compair,25.0,0.01970982551574707
compair,37.5,0.02019524574279785
compair,25.0,0.018519878387451172
compair,25.0,0.020064592361450195
compair,41.65,0.02006983757019043
compair,49.974999999999994,0.020217180252075195
compair,25.0,0.019989013671875
compair,33.325,0.019034385681152344
compair,37.5,0.019886016845703125
compair,29.175,0.053114891052246094
compair,37.5,0.020964622497558594
compair,25.0,0.020534992218017578
compair,50.0,0.020633697509765625
compair,25.0,0.02060842514038086
compair,37.5,0.019662141799926758
compair,37.5,0.018671274185180664
compair,33.325,0.01910853385925293
compair,33.325,0.019712448120117188
compair,37.5,0.01990365982055664
compair,37.5,0.020969629287719727
friction,25.0,0.006693363189697266
friction,25.0,0.0066907405853271484
friction,37.5,0.007738351821899414
friction,25.0,0.007102489471435547
friction,50.0,0.006983518600463867
friction,25.0,0.006326436996459961
friction,50.0,0.0064127445220947266
friction,25.0,0.006482362747192383
friction,25.0,0.006379842758178711
friction,25.0,0.006226062774658203
friction,25.0,0.006410360336303711
friction,50.0,0.0062711238861083984
friction,25.0,0.0065495967864990234
friction,12.5,0.006384372711181641
friction,37.5,0.006403684616088867
friction,37.5,0.0064427852630615234
friction,25.0,0.006678342819213867
friction,37.5,0.007191658020019531
friction,50.0,0.006985902786254883
friction,50.0,0.007894515991210938
narendra4,39.575,0.029506444931030273
narendra4,37.5,0.02830362319946289
narendra4,37.5,0.02771139144897461
narendra4,40.0,0.026334762573242188
narendra4,33.325,0.02762007713317871
narendra4,54.15,0.029205322265625
narendra4,41.65,0.029862403869628906
narendra4,25.0,0.027962923049926758
narendra4,43.325,0.028012990951538086
narendra4,35.0,0.028033018112182617
narendra4,35.0,0.02674269676208496
narendra4,37.5,0.028281450271606445
narendra4,33.325,0.02930474281311035
narendra4,31.25,0.028878211975097656
narendra4,45.825,0.027655363082885742
narendra4,35.0,0.027099132537841797
narendra4,25.0,0.026887178421020508
narendra4,25.0,0.026723623275756836
narendra4,35.0,0.02867269515991211
narendra4,37.5,0.029253005981445312
pt2,45.825,0.015292882919311523
pt2,37.5,0.015057086944580078
pt2,37.5,0.01444864273071289
pt2,37.5,0.014006614685058594
pt2,25.0,0.013921737670898438
pt2,33.325,0.014133691787719727
pt2,25.0,0.014448881149291992
pt2,25.0,0.014168262481689453
pt2,25.0,0.014416694641113281
pt2,25.0,0.015512943267822266
pt2,37.5,0.014655113220214844
pt2,37.5,0.014969348907470703
pt2,37.5,0.015737533569335938
pt2,25.0,0.014902830123901367
pt2,25.0,0.015500545501708984
pt2,25.0,0.014899730682373047
pt2,25.0,0.013897180557250977
pt2,25.0,0.01385188102722168
pt2,33.325,0.015136480331420898
pt2,37.5,0.015384912490844727
P0Y0_narendra4,50.0,0.005768775939941406
P0Y0_narendra4,25.0,0.0058786869049072266
P0Y0_narendra4,25.0,0.0060613155364990234
P0Y0_narendra4,25.0,0.005635261535644531
P0Y0_narendra4,25.0,0.005581855773925781
P0Y0_narendra4,37.5,0.006038665771484375
P0Y0_narendra4,25.0,0.00605320930480957
P0Y0_narendra4,25.0,0.0057315826416015625
P0Y0_narendra4,25.0,0.00566411018371582
P0Y0_narendra4,12.5,0.006274700164794922
P0Y0_narendra4,25.0,0.005945682525634766
P0Y0_narendra4,50.0,0.0052411556243896484
P0Y0_narendra4,50.0,0.0057599544525146484
P0Y0_narendra4,25.0,0.005231618881225586
P0Y0_narendra4,25.0,0.005478620529174805
P0Y0_narendra4,50.0,0.005498170852661133
P0Y0_narendra4,25.0,0.005213022232055664
P0Y0_narendra4,25.0,0.005106925964355469
P0Y0_narendra4,25.0,0.005278348922729492
P0Y0_narendra4,25.0,0.005427837371826172
P0Y0_compair,25.0,0.004483938217163086
P0Y0_compair,25.0,0.004288673400878906
P0Y0_compair,25.0,0.004464387893676758
P0Y0_compair,25.0,0.0045795440673828125
P0Y0_compair,25.0,0.004286527633666992
P0Y0_compair,25.0,0.0045735836029052734
P0Y0_compair,37.5,0.004105806350708008
P0Y0_compair,12.5,0.004002094268798828
P0Y0_compair,50.0,0.004256486892700195
P0Y0_compair,25.0,0.00423741340637207
P0Y0_compair,50.0,0.004362583160400391
P0Y0_compair,50.0,0.0044324398040771484
P0Y0_compair,50.0,0.004621267318725586
P0Y0_compair,25.0,0.0046079158782958984
P0Y0_compair,50.0,0.00449681282043457
P0Y0_compair,25.0,0.004573345184326172
P0Y0_compair,25.0,0.004573345184326172
P0Y0_compair,25.0,0.00443720817565918
P0Y0_compair,25.0,0.004324197769165039
P0Y0_compair,25.0,0.004228353500366211
gradient,33.6,0.5046753883361816
gradient,48.225,0.5059618949890137
gradient,45.8,0.5023953914642334
gradient,45.125,0.5057194232940674
gradient,48.8,0.5028009414672852
gradient,48.0,0.509495735168457
gradient,47.025,0.5083491802215576
gradient,48.1,0.5049715042114258
gradient,46.35,0.5055689811706543
gradient,47.2,0.5022308826446533
gradient,46.625,0.5112903118133545
gradient,47.55,0.5060319900512695
gradient,46.5,0.5036170482635498
gradient,46.225,0.5078113079071045
gradient,45.6,0.5052840709686279
gradient,47.075,0.5090980529785156
gradient,47.55,0.5114243030548096
gradient,44.7,0.502467155456543
gradient,47.95,0.5020382404327393
gradient,46.425,0.5054106712341309
Im Rec,56.55,3.1684091091156006
Im Rec,56.5,3.1627254486083984
Im Rec,55.525,2.987696409225464
Im Rec,56.875,3.0866968631744385
Im Rec,55.625,3.0695981979370117
Im Rec,55.075,3.007007360458374
Im Rec,56.1,3.015834093093872
Im Rec,55.224999999999994,2.98643159866333
Im Rec,56.1,2.9948511123657227
Im Rec,55.375,2.9798104763031006
Im Rec,55.3,2.9768502712249756
Im Rec,56.325,2.9868125915527344
Im Rec,55.4,2.981513738632202
Im Rec,53.625,2.9837560653686523
Im Rec,54.375,2.9836695194244385
Im Rec,55.6,2.9818992614746094
Im Rec,55.1,2.9779138565063477
Im Rec,57.6,3.157179832458496
Im Rec,57.4,3.1750917434692383
Im Rec,56.8,3.1083321571350098
FashionMNIST,33.375,0.5061979293823242
FashionMNIST,38.875,0.5103869438171387
FashionMNIST,38.2,0.49943971633911133
FashionMNIST,35.625,0.484757661819458
FashionMNIST,37.25,0.5009045600891113
FashionMNIST,41.05,0.5438787937164307
FashionMNIST,36.85,0.5256869792938232
FashionMNIST,33.825,0.5137054920196533
FashionMNIST,38.55,0.4765458106994629
FashionMNIST,30.8,0.47841525077819824
FashionMNIST,31.575,0.4736289978027344
FashionMNIST,34.825,0.47789907455444336
FashionMNIST,33.35,0.47048211097717285
FashionMNIST,34.45,0.4797325134277344
FashionMNIST,88.05,0.5952804088592529
FashionMNIST,66.85,0.519390344619751
FashionMNIST,35.225,0.48812294006347656
FashionMNIST,37.1,0.47643470764160156
FashionMNIST,38.525,0.4781334400177002
FashionMNIST,51.25,0.49996066093444824
NumberMNIST,64.225,0.8882215023040771
NumberMNIST,37.05,0.672072172164917
NumberMNIST,34.275,0.6171755790710449
NumberMNIST,30.425,0.6160242557525635
NumberMNIST,32.325,0.6215293407440186
NumberMNIST,33.15,0.6290712356567383
NumberMNIST,36.475,0.6491677761077881
NumberMNIST,34.775,0.629718542098999
NumberMNIST,35.1,0.6195564270019531
NumberMNIST,33.425,0.6183598041534424
NumberMNIST,34.15,0.6184358596801758
NumberMNIST,35.975,0.6854743957519531
NumberMNIST,36.025,0.6516883373260498
NumberMNIST,42.575,0.7485153675079346
NumberMNIST,34.2,0.6681339740753174
NumberMNIST,35.35,0.6740844249725342
NumberMNIST,34.375,0.6331517696380615
NumberMNIST,33.7,0.6372129917144775
NumberMNIST,34.3,0.6661460399627686
NumberMNIST,43.95,0.6902101039886475
Totaal,14.899999999999999,4.787233722209931
