Naam,CPU Percentage,timediff
compair,55.0,0.07790398597717285
compair,62.5,0.031269073486328125
friction,25.0,0.01560354232788086
friction,25.0,0.015621423721313477
narendra4,50.0,0.03124856948852539
narendra4,37.5,0.031208276748657227
pt2,25.0,0.015403270721435547
pt2,25.0,0.015633106231689453
P0Y0_narendra4,25.0,0.01562047004699707
P0Y0_narendra4,25.0,0.015648365020751953
P0Y0_compair,50.0,0.015594005584716797
P0Y0_compair,25.0,0.015620946884155273
gradient,27.0,0.5774364471435547
gradient,28.475,0.562366247177124
FashionMNIST,27.075,0.3749113082885742
FashionMNIST,38.475,0.40613555908203125
NumberMNIST,43.6,0.6405012607574463
NumberMNIST,27.0,0.5779974460601807
catsVSdogs,32.125,0.10876059532165527
catsVSdogs,41.675,0.0937356948852539
Im Rec,48.325,5.518022298812866
Im Rec,48.0,5.498680353164673
Totaal,4.6,7.327461123466492
