Naam,CPU Percentage,timediff,virtual mem
compair,0.0,0.0,
compair,0.0,0.0,
compair,75.0,0.0005431175231933594,
compair,0.0,0.0010039806365966797,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0009987354278564453,
compair,0.0,0.0009958744049072266,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
compair,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
friction,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
narendra4,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0010149478912353516,
pt2,0.0,0.0,
pt2,25.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0009963512420654297,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
pt2,0.0,0.0,
