Naam,CPU Percentage,timediff
compair,25.0,0.019422054290771484
compair,25.0,0.01897597312927246
compair,25.0,0.01965022087097168
friction,25.0,0.006511211395263672
friction,25.0,0.0069277286529541016
friction,50.0,0.007157564163208008
narendra4,58.325,0.03153491020202637
narendra4,68.75,0.03026866912841797
narendra4,68.75,0.031820058822631836
pt2,79.175,0.016680479049682617
pt2,66.675,0.01687479019165039
pt2,58.325,0.016903400421142578
P0Y0_narendra4,25.0,0.006369113922119141
P0Y0_narendra4,37.5,0.006821632385253906
P0Y0_narendra4,25.0,0.006229400634765625
P0Y0_compair,50.0,0.004664182662963867
P0Y0_compair,37.5,0.0046770572662353516
P0Y0_compair,75.0,0.0048258304595947266
gradient,40.35,0.5301203727722168
gradient,50.625,0.5135371685028076
gradient,47.925,0.5074632167816162
Im Rec,54.625,3.0050041675567627
Im Rec,55.075,2.9988019466400146
Im Rec,54.9,2.995269298553467
FashionMNIST,34.05,0.4719264507293701
FashionMNIST,32.7,0.46972084045410156
FashionMNIST,33.95,0.47106456756591797
Totaal,4.425,4.073074102401733
