Naam,CPU Percentage,timediff
catsVSdogs,31.15,0.46944117546081543
catsVSdogs,32.775,0.4467301368713379
catsVSdogs,33.625,0.42744922637939453
catsVSdogs,28.725,0.44899773597717285
catsVSdogs,33.325,0.4918851852416992
catsVSdogs,32.075,0.4291689395904541
catsVSdogs,33.5,0.43700432777404785
catsVSdogs,31.6,0.4276895523071289
catsVSdogs,33.675,0.42737913131713867
catsVSdogs,34.15,0.42766761779785156
catsVSdogs,32.7,0.4271392822265625
catsVSdogs,35.325,0.42778897285461426
catsVSdogs,32.2,0.42772364616394043
catsVSdogs,32.525,0.4314420223236084
catsVSdogs,28.925,0.4648470878601074
catsVSdogs,33.675,0.4275515079498291
catsVSdogs,34.675,0.4278285503387451
catsVSdogs,30.2,0.45321011543273926
catsVSdogs,32.675,0.4641900062561035
catsVSdogs,34.175,0.46005845069885254
Im Rec,60.9,15.862508773803711
Im Rec,50.325,16.73311972618103
