Naam,CPU Percentage,timediff
compair,25,0.205734014511108
compair,25,0.196030378341675
compair,25,0.196830987930298
compair,25,0.198010206222534
compair,25,0.197366237640381
compair,25,0.197470903396606
compair,25,0.480070114135742
compair,25,0.197259664535522
compair,25,0.198209047317505
compair,25,0.197345495223999
compair,25,0.197949171066284
compair,25,0.197938203811646
compair,25,0.198026895523071
compair,25,0.198080539703369
compair,25,0.197743892669678
compair,25,0.198330640792847
compair,25,0.198031663894653
compair,25,0.198320388793945
compair,25,0.197853565216064
compair,25,0.197839260101318
friction,25,0.068324089050293
friction,25,0.068312883377075
friction,25,0.067745685577393
friction,25,0.067896366119385
friction,25,0.067652463912964
friction,25,0.067697763442993
friction,25,0.068325996398926
friction,25,0.067836046218872
friction,25,0.067726135253906
friction,25,0.067887306213379
friction,25,0.067676544189453
friction,25,0.067517518997192
friction,25,0.068432569503784
friction,25,0.06806206703186
friction,25,0.068193197250366
friction,25,0.067607402801514
friction,25,0.067684412002564
friction,25,0.067763566970825
friction,25,0.067716836929321
friction,25,0.067732334136963
narendra4,25,0.280236482620239
narendra4,25,0.280601501464844
narendra4,25,0.27945351600647
narendra4,25,0.280444145202637
narendra4,25,0.278608560562134
narendra4,25,0.279810667037964
narendra4,25,0.280435562133789
narendra4,25,0.279932022094727
narendra4,25,0.278635501861572
narendra4,25,0.280291318893433
narendra4,25,0.279066801071167
narendra4,25.85,0.279796838760376
narendra4,25,0.279171705245972
narendra4,25,0.280297756195068
narendra4,25,0.278580188751221
narendra4,25,0.280191421508789
narendra4,25,0.278624773025513
narendra4,25,0.280903100967407
narendra4,25,0.279701471328735
narendra4,25,0.280047416687012
pt2,25,0.143043279647827
pt2,25,0.143092155456543
pt2,25,0.141792058944702
pt2,28.225,0.141950607299805
pt2,25,0.141616344451904
pt2,25,0.142232179641724
pt2,25,0.141759634017944
pt2,25,0.141859292984009
pt2,25,0.14154052734375
pt2,25,0.142003536224365
pt2,25,0.142345190048218
pt2,25,0.142051458358765
pt2,25,0.141919136047363
pt2,25,0.141613245010376
pt2,25,0.141671419143677
pt2,25,0.142218112945557
pt2,25,0.141589164733887
pt2,25,0.141740798950195
pt2,25,0.141751766204834
pt2,25,0.141696214675903
P0Y0_narendra4,25,0.054283142089844
P0Y0_narendra4,25,0.053990125656128
P0Y0_narendra4,25,0.053733348846436
P0Y0_narendra4,25,0.053939580917358
P0Y0_narendra4,25,0.053832530975342
P0Y0_narendra4,25,0.053807020187378
P0Y0_narendra4,25,0.053858757019043
P0Y0_narendra4,25,0.0539231300354
P0Y0_narendra4,25,0.053957223892212
P0Y0_narendra4,25,0.05426836013794
P0Y0_narendra4,25,0.053756475448608
P0Y0_narendra4,25,0.053843498229981
P0Y0_narendra4,25,0.05381965637207
P0Y0_narendra4,25,0.054377555847168
P0Y0_narendra4,25,0.054035425186157
P0Y0_narendra4,25,0.054231882095337
P0Y0_narendra4,25,0.053832054138184
P0Y0_narendra4,25,0.054363012313843
P0Y0_narendra4,25,0.053824186325073
P0Y0_narendra4,25,0.053873300552368
P0Y0_compair,25,0.040529727935791
P0Y0_compair,25,0.040610790252686
P0Y0_compair,25,0.040571928024292
P0Y0_compair,25,0.040502071380615
P0Y0_compair,25,0.04072904586792
P0Y0_compair,25,0.040596723556519
P0Y0_compair,25,0.040544033050537
P0Y0_compair,25,0.040554761886597
P0Y0_compair,25,0.040541410446167
P0Y0_compair,25,0.040557384490967
P0Y0_compair,25,0.040634393692017
P0Y0_compair,25,0.040536642074585
P0Y0_compair,25,0.040584564208984
P0Y0_compair,25,0.040626049041748
P0Y0_compair,25,0.040539741516113
P0Y0_compair,25,0.040869951248169
P0Y0_compair,25,0.040970325469971
P0Y0_compair,25,0.040827751159668
P0Y0_compair,25,0.040855646133423
P0Y0_compair,25,0.040450572967529
gradient,25,3.6747350692749
gradient,25,3.6587700843811
gradient,25,3.64784073829651
gradient,25,3.64533424377441
gradient,25,3.6580274105072
gradient,25,3.64855289459229
gradient,25.075,3.67420148849487
gradient,25,3.65331649780273
gradient,25.4,3.67755532264709
gradient,25.125,3.6628429889679
gradient,26.875,3.6966872215271
gradient,25.35,3.58593010902405
gradient,25,3.58352208137512
gradient,25,3.57921981811523
gradient,25.075,3.58305478096008
gradient,25,3.58116626739502
gradient,25,3.59247231483459
gradient,25,3.586097240448
gradient,25.075,3.57627296447754
gradient,25,3.58814382553101
Im Rec,58.975,14.8825125694275
Im Rec,59.55,14.6207909584045
Im Rec,60.75,14.3934857845306
Im Rec,59.825,14.6411085128784
Im Rec,59.45,14.8097724914551
Im Rec,60.225,14.6208174228668
Im Rec,59.65,14.5644736289978
Im Rec,59.95,14.7681205272675
Im Rec,60.45,14.5567977428436
Im Rec,56.275,15.6591801643372
Im Rec,58.975,14.8825125694275
Im Rec,59.55,14.6207909584045
Im Rec,60.75,14.3934857845306
Im Rec,59.825,14.6411085128784
Im Rec,59.45,14.8097724914551
Im Rec,60.225,14.6208174228668
Im Rec,59.65,14.5644736289978
Im Rec,59.95,14.7681205272675
Im Rec,60.45,14.5567977428436
Im Rec,56.275,15.6591801643372
FashionMNIST,25,1.38065314292908
FashionMNIST,25.45,1.39121842384338
FashionMNIST,25,1.35895204544067
FashionMNIST,25,1.36019563674927
FashionMNIST,25,1.35849380493164
FashionMNIST,25,1.35955405235291
FashionMNIST,25,1.35927414894104
FashionMNIST,25,1.35954117774963
FashionMNIST,25,1.35829782485962
FashionMNIST,25,1.35845136642456
FashionMNIST,25,1.35816216468811
FashionMNIST,25,1.35961651802063
FashionMNIST,25,1.35822558403015
FashionMNIST,25,1.35889506340027
FashionMNIST,25,1.35880756378174
FashionMNIST,25,1.35895776748657
FashionMNIST,25,1.35887861251831
FashionMNIST,25,1.35889053344727
FashionMNIST,25,1.35851716995239
FashionMNIST,25,1.35953497886658
Totaal,2,20.5374856829643
