Naam,CPU Percentage,timediff
FashionMNIST,25.0,1.3806531429290771
FashionMNIST,25.45,1.3912184238433838
FashionMNIST,25.0,1.3589520454406738
FashionMNIST,25.0,1.3601956367492676
FashionMNIST,25.0,1.3584938049316406
FashionMNIST,25.0,1.3595540523529053
FashionMNIST,25.0,1.35927414894104
FashionMNIST,25.0,1.3595411777496338
FashionMNIST,25.0,1.3582978248596191
FashionMNIST,25.0,1.3584513664245605
FashionMNIST,25.0,1.3581621646881104
FashionMNIST,25.0,1.3596165180206299
FashionMNIST,25.0,1.3582255840301514
FashionMNIST,25.0,1.3588950634002686
FashionMNIST,25.0,1.3588075637817383
FashionMNIST,25.0,1.3589577674865723
FashionMNIST,25.0,1.3588786125183105
FashionMNIST,25.0,1.3588905334472656
FashionMNIST,25.0,1.3585171699523926
FashionMNIST,25.0,1.3595349788665771
Totaal,0.0,1.361655879020691
