Naam,CPU Percentage,timediff,virtual mem
compair,25.475,12.354430437088013,"svmem(total=1033879552, available=769462272, percent=25.6, used=170987520, free=684290048, active=134717440, inactive=81309696, buffers=15298560, cached=163303424, shared=18677760, slab=63557632)"
compair,25.8,12.297081232070923,"svmem(total=1033879552, available=769589248, percent=25.6, used=170852352, free=684417024, active=134787072, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63557632)"
compair,25.375,12.328733205795288,"svmem(total=1033879552, available=769589248, percent=25.6, used=170852352, free=684417024, active=134787072, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63557632)"
compair,25.575,12.31769847869873,"svmem(total=1033879552, available=769589248, percent=25.6, used=170852352, free=684417024, active=134787072, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63557632)"
compair,25.675,12.32426404953003,"svmem(total=1033879552, available=769589248, percent=25.6, used=170852352, free=684417024, active=134787072, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63557632)"
compair,25.6,12.32219934463501,"svmem(total=1033879552, available=769589248, percent=25.6, used=170852352, free=684417024, active=134787072, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63557632)"
compair,25.8,12.345171451568604,"svmem(total=1033879552, available=769454080, percent=25.6, used=170987520, free=684281856, active=134844416, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.4,12.33504867553711,"svmem(total=1033879552, available=769458176, percent=25.6, used=170987520, free=684281856, active=134852608, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.45,12.34639286994934,"svmem(total=1033879552, available=769458176, percent=25.6, used=170987520, free=684281856, active=134852608, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.65,12.332786560058594,"svmem(total=1033879552, available=769490944, percent=25.6, used=170954752, free=684314624, active=134852608, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.525,12.330932140350342,"svmem(total=1033879552, available=769458176, percent=25.6, used=170987520, free=684281856, active=134852608, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.75,12.3367018699646,"svmem(total=1033879552, available=769490944, percent=25.6, used=170954752, free=684314624, active=134909952, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.5,12.334074020385742,"svmem(total=1033879552, available=769458176, percent=25.6, used=170987520, free=684281856, active=134909952, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.5,12.328314781188965,"svmem(total=1033879552, available=769458176, percent=25.6, used=170987520, free=684281856, active=134909952, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.6,12.35850191116333,"svmem(total=1033879552, available=769490944, percent=25.6, used=170954752, free=684314624, active=134909952, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.55,12.329049825668335,"svmem(total=1033879552, available=769458176, percent=25.6, used=170987520, free=684281856, active=134909952, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63565824)"
compair,25.75,12.359046697616577,"svmem(total=1033879552, available=769503232, percent=25.6, used=170942464, free=684326912, active=134909952, inactive=81309696, buffers=15306752, cached=163303424, shared=18677760, slab=63660032)"
