Naam,CPU Percentage,timediff,virtual mem
compair,99.475,3.7608399391174316,"svmem(total=8234958848, available=4902326272, percent=40.5, used=2925563904, free=2270932992, active=3717697536, inactive=1786355712, buffers=213028864, cached=2825433088, shared=101699584, slab=217886720)"
compair,99.525,2.7057249546051025,"svmem(total=8234958848, available=4901363712, percent=40.5, used=2926530560, free=2269962240, active=3718656000, inactive=1786363904, buffers=213028864, cached=2825437184, shared=101699584, slab=217882624)"
compair,99.625,3.627761125564575,"svmem(total=8234958848, available=4898484224, percent=40.5, used=2929410048, free=2267033600, active=3719200768, inactive=1786368000, buffers=213069824, cached=2825445376, shared=101699584, slab=217890816)"
compair,99.775,3.2507121562957764,"svmem(total=8234958848, available=4898803712, percent=40.5, used=2929565696, free=2267303936, active=3719852032, inactive=1785860096, buffers=213078016, cached=2825011200, shared=101183488, slab=217972736)"
compair,99.35,4.783602237701416,"svmem(total=8234958848, available=4898435072, percent=40.5, used=2929577984, free=2265284608, active=3722698752, inactive=1787060224, buffers=213090304, cached=2827005952, shared=101535744, slab=217935872)"
compair,99.625,2.8444344997406006,"svmem(total=8234958848, available=4896571392, percent=40.5, used=2931281920, free=2263396352, active=3722551296, inactive=1787072512, buffers=213114880, cached=2827165696, shared=101535744, slab=217923584)"
compair,99.775,3.1255457401275635,"svmem(total=8234958848, available=4896882688, percent=40.5, used=2930847744, free=2263654400, active=3723378688, inactive=1787170816, buffers=213139456, cached=2827317248, shared=101629952, slab=217972736)"
compair,99.8,2.413485527038574,"svmem(total=8234958848, available=4896501760, percent=40.5, used=2931093504, free=2263285760, active=3723743232, inactive=1787531264, buffers=213147648, cached=2827431936, shared=101982208, slab=217894912)"
compair,99.125,2.621124744415283,"svmem(total=8234958848, available=4895780864, percent=40.5, used=2931802112, free=2262564864, active=3723599872, inactive=1787535360, buffers=213147648, cached=2827444224, shared=101990400, slab=217894912)"
compair,99.475,3.788501024246216,"svmem(total=8234958848, available=4894646272, percent=40.6, used=2933092352, free=2261413888, active=3725299712, inactive=1787396096, buffers=213164032, cached=2827288576, shared=101838848, slab=217899008)"
compair,99.7,3.4833569526672363,"svmem(total=8234958848, available=4894187520, percent=40.6, used=2933370880, free=2260946944, active=3724480512, inactive=1787592704, buffers=213164032, cached=2827476992, shared=102027264, slab=217882624)"
compair,99.375,2.3835794925689697,"svmem(total=8234958848, available=4894060544, percent=40.6, used=2933661696, free=2260807680, active=3725275136, inactive=1787424768, buffers=213180416, cached=2827309056, shared=101855232, slab=217882624)"
compair,99.625,3.2754106521606445,"svmem(total=8234958848, available=4894371840, percent=40.6, used=2933882880, free=2261106688, active=3725918208, inactive=1786904576, buffers=213180416, cached=2826788864, shared=101330944, slab=217882624)"
compair,99.7,2.5329606533050537,"svmem(total=8234958848, available=4894343168, percent=40.6, used=2934267904, free=2261073920, active=3727126528, inactive=1786544128, buffers=213204992, cached=2826412032, shared=100966400, slab=217886720)"
compair,99.8,2.4928596019744873,"svmem(total=8234958848, available=4893016064, percent=40.6, used=2934898688, free=2259722240, active=3727867904, inactive=1787244544, buffers=213204992, cached=2827132928, shared=101662720, slab=217890816)"
compair,99.9,2.61012601852417,"svmem(total=8234958848, available=4893114368, percent=40.6, used=2935103488, free=2259832832, active=3727941632, inactive=1786982400, buffers=213213184, cached=2826809344, shared=101392384, slab=217837568)"
