Naam,CPU Percentage,timediff,virtual mem
compair,36.5,2.0900721549987793,"svmem(total=8476856320, available=3136262144, percent=63.0, used=5340594176, free=3136262144)"
compair,43.55,2.050128936767578,"svmem(total=8476856320, available=3137073152, percent=63.0, used=5339783168, free=3137073152)"
compair,34.1,1.9891705513000488,"svmem(total=8476856320, available=3152875520, percent=62.8, used=5323980800, free=3152875520)"
compair,30.35,1.9631507396697998,"svmem(total=8476856320, available=3153162240, percent=62.8, used=5323694080, free=3153162240)"
compair,31.6,1.9527482986450195,"svmem(total=8476856320, available=3152887808, percent=62.8, used=5323968512, free=3152887808)"
compair,32.95,1.9610340595245361,"svmem(total=8476856320, available=3144368128, percent=62.9, used=5332488192, free=3144368128)"
compair,29.625,1.9431307315826416,"svmem(total=8476856320, available=3143884800, percent=62.9, used=5332971520, free=3143884800)"
compair,27.6,1.936676025390625,"svmem(total=8476856320, available=3143884800, percent=62.9, used=5332971520, free=3143884800)"
compair,32.425,1.974440574645996,"svmem(total=8476856320, available=3142848512, percent=62.9, used=5334007808, free=3142848512)"
compair,29.375,1.9364361763000488,"svmem(total=8476856320, available=3142828032, percent=62.9, used=5334028288, free=3142828032)"
compair,31.125,2.0056095123291016,"svmem(total=8476856320, available=3142705152, percent=62.9, used=5334151168, free=3142705152)"
compair,30.3,1.9760470390319824,"svmem(total=8476856320, available=3144163328, percent=62.9, used=5332692992, free=3144163328)"
compair,29.975,1.9365291595458984,"svmem(total=8476856320, available=3144208384, percent=62.9, used=5332647936, free=3144208384)"
compair,27.15,1.9522178173065186,"svmem(total=8476856320, available=3144314880, percent=62.9, used=5332541440, free=3144314880)"
compair,27.25,1.9365456104278564,"svmem(total=8476856320, available=3144339456, percent=62.9, used=5332516864, free=3144339456)"
compair,27.45,1.9273710250854492,"svmem(total=8476856320, available=3144400896, percent=62.9, used=5332455424, free=3144400896)"
compair,32.475,1.9366517066955566,"svmem(total=8476856320, available=3144454144, percent=62.9, used=5332402176, free=3144454144)"
compair,31.0,1.958603858947754,"svmem(total=8476856320, available=3144515584, percent=62.9, used=5332340736, free=3144515584)"
compair,26.4,1.936767578125,"svmem(total=8476856320, available=3153354752, percent=62.8, used=5323501568, free=3153354752)"
compair,26.025,1.9211084842681885,"svmem(total=8476856320, available=3153391616, percent=62.8, used=5323464704, free=3153391616)"
friction,25.0,0.022166728973388672,"svmem(total=8476856320, available=3124506624, percent=63.1, used=5352349696, free=3124506624)"
friction,0.0,0.01559138298034668,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.015647411346435547,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.015621662139892578,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,0.0,0.0,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.031215906143188477,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,0.0,0.0065310001373291016,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,0.0,0.015650510787963867,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.015622854232788086,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.015619993209838867,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.015621423721313477,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,0.0,0.0,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.015621423721313477,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,25.0,0.022127151489257812,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,0.0,0.0,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,45.825,0.031247615814208984,"svmem(total=8476856320, available=3124502528, percent=63.1, used=5352353792, free=3124502528)"
friction,75.0,0.015621185302734375,"svmem(total=8476856320, available=3124502528, percent=63.1, used=5352353792, free=3124502528)"
friction,50.0,0.01562047004699707,"svmem(total=8476856320, available=3124523008, percent=63.1, used=5352333312, free=3124523008)"
friction,25.0,0.03127336502075195,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
friction,0.0,0.006533384323120117,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
narendra4,50.0,0.031252384185791016,"svmem(total=8476856320, available=3124506624, percent=63.1, used=5352349696, free=3124506624)"
narendra4,25.0,0.03127098083496094,"svmem(total=8476856320, available=3124514816, percent=63.1, used=5352341504, free=3124514816)"
narendra4,25.0,0.015614032745361328,"svmem(total=8476856320, available=3124514816, percent=63.1, used=5352341504, free=3124514816)"
narendra4,25.0,0.015620946884155273,"svmem(total=8476856320, available=3124514816, percent=63.1, used=5352341504, free=3124514816)"
narendra4,0.0,0.00653076171875,"svmem(total=8476856320, available=3124514816, percent=63.1, used=5352341504, free=3124514816)"
narendra4,25.0,0.03124690055847168,"svmem(total=8476856320, available=3124498432, percent=63.1, used=5352357888, free=3124498432)"
narendra4,25.0,0.015647172927856445,"svmem(total=8476856320, available=3124531200, percent=63.1, used=5352325120, free=3124531200)"
narendra4,25.0,0.015622854232788086,"svmem(total=8476856320, available=3124531200, percent=63.1, used=5352325120, free=3124531200)"
narendra4,25.0,0.015620231628417969,"svmem(total=8476856320, available=3124531200, percent=63.1, used=5352325120, free=3124531200)"
narendra4,25.0,0.02216625213623047,"svmem(total=8476856320, available=3124531200, percent=63.1, used=5352325120, free=3124531200)"
narendra4,25.0,0.015651226043701172,"svmem(total=8476856320, available=3126190080, percent=63.1, used=5350666240, free=3126190080)"
narendra4,25.0,0.015596389770507812,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.03126788139343262,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.015632152557373047,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.022125720977783203,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.015650272369384766,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.015624284744262695,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.015619277954101562,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.015622138977050781,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
narendra4,25.0,0.031215190887451172,"svmem(total=8476856320, available=3126927360, percent=63.1, used=5349928960, free=3126927360)"
pt2,25.0,0.046904563903808594,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.031207799911499023,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.03780388832092285,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.04686450958251953,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.015620708465576172,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.03780651092529297,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,37.5,0.031233787536621094,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.03125143051147461,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.022152185440063477,"svmem(total=8476856320, available=3126919168, percent=63.1, used=5349937152, free=3126919168)"
pt2,25.0,0.046866416931152344,"svmem(total=8476856320, available=3126906880, percent=63.1, used=5349949440, free=3126906880)"
pt2,25.0,0.03126931190490723,"svmem(total=8476856320, available=3126906880, percent=63.1, used=5349949440, free=3126906880)"
